#,Date-Time (HST),"pH , pH","Temperature , °C","Millivolts , mv"
151,04/13/2026 18:57:00,8.11,25.65,-71.72
152,04/13/2026 18:58:00,8.10,25.62,-71.71
153,04/13/2026 18:59:00,8.10,25.62,-71.66
154,04/13/2026 19:00:00,8.10,25.60,-71.63
155,04/13/2026 19:01:00,8.10,25.60,-71.58
156,04/13/2026 19:02:00,8.10,25.57,-71.53
157,04/13/2026 19:03:00,8.10,25.57,-71.50
158,04/13/2026 19:04:00,8.10,25.55,-71.47
159,04/13/2026 19:05:00,8.10,25.55,-71.42
160,04/13/2026 19:06:00,8.10,25.55,-71.39
161,04/13/2026 19:07:00,8.10,25.53,-71.35
162,04/13/2026 19:08:00,8.10,25.53,-71.31
163,04/13/2026 19:09:00,8.10,25.50,-71.28
164,04/13/2026 19:10:00,8.10,25.50,-71.24
165,04/13/2026 19:11:00,8.10,25.48,-71.21
166,04/13/2026 19:12:00,8.10,25.48,-71.17
167,04/13/2026 19:13:00,8.10,25.45,-71.14
168,04/13/2026 19:14:00,8.10,25.45,-71.11
169,04/13/2026 19:15:00,8.09,25.45,-71.06
170,04/13/2026 19:16:00,8.09,25.43,-71.03
171,04/13/2026 19:17:00,8.09,25.43,-71.00
172,04/13/2026 19:18:00,8.09,25.43,-70.96
173,04/13/2026 19:19:00,8.09,25.40,-70.92
174,04/13/2026 19:20:00,8.09,25.40,-70.89
175,04/13/2026 19:21:00,8.09,25.38,-70.86
176,04/13/2026 19:22:00,8.09,25.38,-70.83
177,04/13/2026 19:23:00,8.09,25.38,-70.78
178,04/13/2026 19:24:00,8.09,25.36,-70.75
179,04/13/2026 19:25:00,8.09,25.36,-70.72
180,04/13/2026 19:26:00,8.09,25.36,-70.69
181,04/13/2026 19:27:00,8.09,25.33,-70.66
182,04/13/2026 19:28:00,8.09,25.33,-70.64
183,04/13/2026 19:29:00,8.09,25.33,-70.60
184,04/13/2026 19:30:00,8.09,25.31,-70.56
185,04/13/2026 19:31:00,8.09,25.31,-70.53
186,04/13/2026 19:32:00,8.09,25.31,-70.50
187,04/13/2026 19:33:00,8.08,25.28,-70.47
188,04/13/2026 19:34:00,8.08,25.28,-70.44
189,04/13/2026 19:35:00,8.08,25.28,-70.41
190,04/13/2026 19:36:00,8.08,25.26,-70.38
191,04/13/2026 19:37:00,8.08,25.26,-70.35
192,04/13/2026 19:38:00,8.08,25.26,-70.31
193,04/13/2026 19:39:00,8.08,25.23,-70.28
194,04/13/2026 19:40:00,8.08,25.23,-70.25
195,04/13/2026 19:41:00,8.08,25.23,-70.22
196,04/13/2026 19:42:00,8.08,25.23,-70.19
197,04/13/2026 19:43:00,8.08,25.21,-70.17
198,04/13/2026 19:44:00,8.08,25.21,-70.13
199,04/13/2026 19:45:00,8.08,25.21,-70.10
200,04/13/2026 19:46:00,8.08,25.21,-70.08
201,04/13/2026 19:47:00,8.08,25.19,-70.05
202,04/13/2026 19:48:00,8.08,25.19,-70.02
203,04/13/2026 19:49:00,8.08,25.19,-69.99
204,04/13/2026 19:50:00,8.08,25.16,-69.96
205,04/13/2026 19:51:00,8.08,25.16,-69.92
206,04/13/2026 19:52:00,8.08,25.16,-69.89
207,04/13/2026 19:53:00,8.07,25.16,-69.86
208,04/13/2026 19:54:00,8.07,25.14,-69.83
209,04/13/2026 19:55:00,8.07,25.14,-69.80
210,04/13/2026 19:56:00,8.07,25.14,-69.77
211,04/13/2026 19:57:00,8.07,25.14,-69.75
212,04/13/2026 19:58:00,8.07,25.11,-69.74
213,04/13/2026 19:59:00,8.07,25.11,-69.71
214,04/13/2026 20:00:00,8.07,25.11,-69.67
215,04/13/2026 20:01:00,8.07,25.09,-69.64
216,04/13/2026 20:02:00,8.07,25.09,-69.61
217,04/13/2026 20:03:00,8.07,25.09,-69.58
218,04/13/2026 20:04:00,8.07,25.09,-69.56
219,04/13/2026 20:05:00,8.07,25.06,-69.53
220,04/13/2026 20:06:00,8.07,25.06,-69.50
221,04/13/2026 20:07:00,8.07,25.06,-69.47
222,04/13/2026 20:08:00,8.07,25.06,-69.46
223,04/13/2026 20:09:00,8.07,25.04,-69.42
224,04/13/2026 20:10:00,8.07,25.04,-69.39
225,04/13/2026 20:11:00,8.07,25.04,-69.36
226,04/13/2026 20:12:00,8.07,25.04,-69.35
227,04/13/2026 20:13:00,8.07,25.02,-69.33
228,04/13/2026 20:14:00,8.07,25.02,-69.30
229,04/13/2026 20:15:00,8.06,25.02,-69.27
230,04/13/2026 20:16:00,8.06,24.99,-69.24
231,04/13/2026 20:17:00,8.06,24.99,-69.22
232,04/13/2026 20:18:00,8.06,24.99,-69.19
233,04/13/2026 20:19:00,8.06,24.99,-69.16
234,04/13/2026 20:20:00,8.06,24.97,-69.14
235,04/13/2026 20:21:00,8.06,24.97,-69.11
236,04/13/2026 20:22:00,8.06,24.97,-69.08
237,04/13/2026 20:23:00,8.06,24.94,-69.06
238,04/13/2026 20:24:00,8.06,24.94,-69.03
239,04/13/2026 20:25:00,8.06,24.94,-69.02
240,04/13/2026 20:26:00,8.06,24.94,-68.99
241,04/13/2026 20:27:00,8.06,24.92,-68.97
242,04/13/2026 20:28:00,8.06,24.92,-68.96
243,04/13/2026 20:29:00,8.06,24.92,-68.92
244,04/13/2026 20:30:00,8.06,24.90,-68.91
245,04/13/2026 20:31:00,8.06,24.90,-68.88
246,04/13/2026 20:32:00,8.06,24.90,-68.85
247,04/13/2026 20:33:00,8.06,24.90,-68.81
248,04/13/2026 20:34:00,8.06,24.90,-68.80
249,04/13/2026 20:35:00,8.06,24.87,-68.77
250,04/13/2026 20:36:00,8.06,24.87,-68.75
251,04/13/2026 20:37:00,8.06,24.87,-68.72
252,04/13/2026 20:38:00,8.06,24.87,-68.69
253,04/13/2026 20:39:00,8.06,24.87,-68.67
254,04/13/2026 20:40:00,8.05,24.85,-68.64
255,04/13/2026 20:41:00,8.05,24.85,-68.61
256,04/13/2026 20:42:00,8.05,24.85,-68.60
257,04/13/2026 20:43:00,8.05,24.85,-68.60
258,04/13/2026 20:44:00,8.05,24.85,-68.56
259,04/13/2026 20:45:00,8.05,24.82,-68.53
260,04/13/2026 20:46:00,8.05,24.82,-68.52
261,04/13/2026 20:47:00,8.05,24.82,-68.49
262,04/13/2026 20:48:00,8.05,24.82,-68.47
263,04/13/2026 20:49:00,8.05,24.82,-68.44
264,04/13/2026 20:50:00,8.05,24.82,-68.42
265,04/13/2026 20:51:00,8.05,24.80,-68.41
266,04/13/2026 20:52:00,8.05,24.80,-68.38
267,04/13/2026 20:53:00,8.05,24.80,-68.36
268,04/13/2026 20:54:00,8.05,24.80,-68.35
269,04/13/2026 20:55:00,8.05,24.80,-68.31
270,04/13/2026 20:56:00,8.05,24.80,-68.30
271,04/13/2026 20:57:00,8.05,24.77,-68.28
272,04/13/2026 20:58:00,8.05,24.77,-68.27
273,04/13/2026 20:59:00,8.05,24.77,-68.25
274,04/13/2026 21:00:00,8.05,24.77,-68.22
275,04/13/2026 21:01:00,8.05,24.77,-68.21
276,04/13/2026 21:02:00,8.05,24.77,-68.17
277,04/13/2026 21:03:00,8.05,24.75,-68.16
278,04/13/2026 21:04:00,8.05,24.75,-68.14
279,04/13/2026 21:05:00,8.05,24.75,-68.13
280,04/13/2026 21:06:00,8.05,24.75,-68.11
281,04/13/2026 21:07:00,8.05,24.75,-68.08
282,04/13/2026 21:08:00,8.04,24.73,-68.06
283,04/13/2026 21:09:00,8.04,24.73,-68.05
284,04/13/2026 21:10:00,8.04,24.73,-68.03
285,04/13/2026 21:11:00,8.04,24.73,-68.02
286,04/13/2026 21:12:00,8.04,24.73,-67.99
287,04/13/2026 21:13:00,8.04,24.70,-67.99
288,04/13/2026 21:14:00,8.04,24.70,-67.97
289,04/13/2026 21:15:00,8.04,24.70,-67.94
290,04/13/2026 21:16:00,8.04,24.70,-67.92
291,04/13/2026 21:17:00,8.04,24.70,-67.91
292,04/13/2026 21:18:00,8.04,24.70,-67.89
293,04/13/2026 21:19:00,8.04,24.68,-67.88
294,04/13/2026 21:20:00,8.04,24.68,-67.86
295,04/13/2026 21:21:00,8.04,24.68,-67.83
296,04/13/2026 21:22:00,8.04,24.68,-67.81
297,04/13/2026 21:23:00,8.04,24.68,-67.80
298,04/13/2026 21:24:00,8.04,24.65,-67.78
299,04/13/2026 21:25:00,8.04,24.65,-67.77
300,04/13/2026 21:26:00,8.04,24.65,-67.75
301,04/13/2026 21:27:00,8.04,24.65,-67.72
302,04/13/2026 21:28:00,8.04,24.65,-67.72
303,04/13/2026 21:29:00,8.04,24.63,-67.71
304,04/13/2026 21:30:00,8.04,24.63,-67.69
305,04/13/2026 21:31:00,8.04,24.63,-67.66
306,04/13/2026 21:32:00,8.04,24.63,-67.64
307,04/13/2026 21:33:00,8.04,24.63,-67.63
308,04/13/2026 21:34:00,8.04,24.60,-67.61
309,04/13/2026 21:35:00,8.04,24.60,-67.60
310,04/13/2026 21:36:00,8.04,24.60,-67.58
311,04/13/2026 21:37:00,8.04,24.60,-67.56
312,04/13/2026 21:38:00,8.04,24.60,-67.55
313,04/13/2026 21:39:00,8.04,24.58,-67.53
314,04/13/2026 21:40:00,8.04,24.58,-67.50
315,04/13/2026 21:41:00,8.04,24.58,-67.50
316,04/13/2026 21:42:00,8.04,24.58,-67.47
317,04/13/2026 21:43:00,8.04,24.58,-67.49
318,04/13/2026 21:44:00,8.03,24.58,-67.46
319,04/13/2026 21:45:00,8.03,24.56,-67.44
320,04/13/2026 21:46:00,8.03,24.56,-67.42
321,04/13/2026 21:47:00,8.03,24.56,-67.41
322,04/13/2026 21:48:00,8.03,24.56,-67.39
323,04/13/2026 21:49:00,8.03,24.56,-67.38
324,04/13/2026 21:50:00,8.03,24.56,-67.35
325,04/13/2026 21:51:00,8.03,24.53,-67.33
326,04/13/2026 21:52:00,8.03,24.53,-67.31
327,04/13/2026 21:53:00,8.03,24.53,-67.30
328,04/13/2026 21:54:00,8.03,24.53,-67.28
329,04/13/2026 21:55:00,8.03,24.53,-67.27
330,04/13/2026 21:56:00,8.03,24.53,-67.25
331,04/13/2026 21:57:00,8.03,24.53,-67.24
332,04/13/2026 21:58:00,8.03,24.51,-67.24
333,04/13/2026 21:59:00,8.03,24.51,-67.22
334,04/13/2026 22:00:00,8.03,24.51,-67.21
335,04/13/2026 22:01:00,8.03,24.51,-67.19
336,04/13/2026 22:02:00,8.03,24.51,-67.17
337,04/13/2026 22:03:00,8.03,24.51,-67.16
338,04/13/2026 22:04:00,8.03,24.48,-67.16
339,04/13/2026 22:05:00,8.03,24.48,-67.14
340,04/13/2026 22:06:00,8.03,24.48,-67.13
341,04/13/2026 22:07:00,8.03,24.48,-67.11
342,04/13/2026 22:08:00,8.03,24.48,-67.10
343,04/13/2026 22:09:00,8.03,24.48,-67.08
344,04/13/2026 22:10:00,8.03,24.48,-67.06
345,04/13/2026 22:11:00,8.03,24.46,-67.05
346,04/13/2026 22:12:00,8.03,24.46,-67.05
347,04/13/2026 22:13:00,8.03,24.46,-67.05
348,04/13/2026 22:14:00,8.03,24.46,-67.02
349,04/13/2026 22:15:00,8.03,24.46,-67.00
350,04/13/2026 22:16:00,8.03,24.46,-66.99
351,04/13/2026 22:17:00,8.03,24.46,-66.99
352,04/13/2026 22:18:00,8.03,24.44,-66.97
353,04/13/2026 22:19:00,8.03,24.44,-66.96
354,04/13/2026 22:20:00,8.03,24.44,-66.94
355,04/13/2026 22:21:00,8.03,24.44,-66.94
356,04/13/2026 22:22:00,8.03,24.44,-66.92
357,04/13/2026 22:23:00,8.03,24.44,-66.91
358,04/13/2026 22:24:00,8.03,24.44,-66.89
359,04/13/2026 22:25:00,8.03,24.41,-66.89
360,04/13/2026 22:26:00,8.03,24.41,-66.86
361,04/13/2026 22:27:00,8.03,24.41,-66.86
362,04/13/2026 22:28:00,8.03,24.41,-66.86
363,04/13/2026 22:29:00,8.02,24.41,-66.85
364,04/13/2026 22:30:00,8.02,24.41,-66.83
365,04/13/2026 22:31:00,8.02,24.41,-66.81
366,04/13/2026 22:32:00,8.02,24.39,-66.80
367,04/13/2026 22:33:00,8.02,24.39,-66.78
368,04/13/2026 22:34:00,8.02,24.39,-66.78
369,04/13/2026 22:35:00,8.02,24.39,-66.77
370,04/13/2026 22:36:00,8.02,24.39,-66.75
371,04/13/2026 22:37:00,8.02,24.39,-66.74
372,04/13/2026 22:38:00,8.02,24.36,-66.74
373,04/13/2026 22:39:00,8.02,24.36,-66.72
374,04/13/2026 22:40:00,8.02,24.36,-66.72
375,04/13/2026 22:41:00,8.02,24.36,-66.71
376,04/13/2026 22:42:00,8.02,24.36,-66.71
377,04/13/2026 22:43:00,8.02,24.36,-66.71
378,04/13/2026 22:44:00,8.02,24.36,-66.69
379,04/13/2026 22:45:00,8.02,24.34,-66.67
380,04/13/2026 22:46:00,8.02,24.34,-66.67
381,04/13/2026 22:47:00,8.02,24.34,-66.66
382,04/13/2026 22:48:00,8.02,24.34,-66.66
383,04/13/2026 22:49:00,8.02,24.34,-66.64
384,04/13/2026 22:50:00,8.02,24.34,-66.63
385,04/13/2026 22:51:00,8.02,24.34,-66.63
386,04/13/2026 22:52:00,8.02,24.32,-66.61
387,04/13/2026 22:53:00,8.02,24.32,-66.61
388,04/13/2026 22:54:00,8.02,24.32,-66.61
389,04/13/2026 22:55:00,8.02,24.32,-66.60
390,04/13/2026 22:56:00,8.02,24.32,-66.58
391,04/13/2026 22:57:00,8.02,24.32,-66.58
392,04/13/2026 22:58:00,8.02,24.32,-66.60
393,04/13/2026 22:59:00,8.02,24.29,-66.58
394,04/13/2026 23:00:00,8.02,24.29,-66.56
395,04/13/2026 23:01:00,8.02,24.29,-66.56
396,04/13/2026 23:02:00,8.02,24.29,-66.55
397,04/13/2026 23:03:00,8.02,24.29,-66.55
398,04/13/2026 23:04:00,8.02,24.29,-66.53
399,04/13/2026 23:05:00,8.02,24.29,-66.53
400,04/13/2026 23:06:00,8.02,24.27,-66.52
401,04/13/2026 23:07:00,8.02,24.27,-66.52
402,04/13/2026 23:08:00,8.02,24.27,-66.50
403,04/13/2026 23:09:00,8.02,24.27,-66.50
404,04/13/2026 23:10:00,8.02,24.27,-66.49
405,04/13/2026 23:11:00,8.02,24.27,-66.49
406,04/13/2026 23:12:00,8.02,24.27,-66.47
407,04/13/2026 23:13:00,8.02,24.27,-66.49
408,04/13/2026 23:14:00,8.02,24.24,-66.47
409,04/13/2026 23:15:00,8.02,24.24,-66.46
410,04/13/2026 23:16:00,8.02,24.24,-66.46
411,04/13/2026 23:17:00,8.02,24.24,-66.44
412,04/13/2026 23:18:00,8.02,24.24,-66.44
413,04/13/2026 23:19:00,8.02,24.24,-66.44
414,04/13/2026 23:20:00,8.02,24.24,-66.42
415,04/13/2026 23:21:00,8.02,24.22,-66.42
416,04/13/2026 23:22:00,8.02,24.22,-66.41
417,04/13/2026 23:23:00,8.02,24.22,-66.41
418,04/13/2026 23:24:00,8.02,24.22,-66.41
419,04/13/2026 23:25:00,8.02,24.22,-66.39
420,04/13/2026 23:26:00,8.02,24.22,-66.39
421,04/13/2026 23:27:00,8.02,24.22,-66.38
422,04/13/2026 23:28:00,8.02,24.22,-66.39
423,04/13/2026 23:29:00,8.02,24.22,-66.36
424,04/13/2026 23:30:00,8.02,24.19,-66.36
425,04/13/2026 23:31:00,8.02,24.19,-66.35
426,04/13/2026 23:32:00,8.02,24.19,-66.35
427,04/13/2026 23:33:00,8.02,24.19,-66.33
428,04/13/2026 23:34:00,8.02,24.19,-66.31
429,04/13/2026 23:35:00,8.02,24.19,-66.31
430,04/13/2026 23:36:00,8.02,24.19,-66.31
431,04/13/2026 23:37:00,8.02,24.19,-66.31
432,04/13/2026 23:38:00,8.02,24.19,-66.28
433,04/13/2026 23:39:00,8.02,24.19,-66.30
434,04/13/2026 23:40:00,8.02,24.19,-66.28
435,04/13/2026 23:41:00,8.02,24.19,-66.27
436,04/13/2026 23:42:00,8.02,24.17,-66.27
437,04/13/2026 23:43:00,8.02,24.17,-66.27
438,04/13/2026 23:44:00,8.02,24.17,-66.25
439,04/13/2026 23:45:00,8.02,24.17,-66.25
440,04/13/2026 23:46:00,8.02,24.17,-66.24
441,04/13/2026 23:47:00,8.02,24.17,-66.24
442,04/13/2026 23:48:00,8.01,24.17,-66.22
443,04/13/2026 23:49:00,8.01,24.17,-66.21
444,04/13/2026 23:50:00,8.01,24.17,-66.21
445,04/13/2026 23:51:00,8.01,24.17,-66.21
446,04/13/2026 23:52:00,8.01,24.17,-66.17
447,04/13/2026 23:53:00,8.01,24.17,-66.17
448,04/13/2026 23:54:00,8.01,24.17,-66.17
449,04/13/2026 23:55:00,8.01,24.15,-66.16
450,04/13/2026 23:56:00,8.01,24.15,-66.14
451,04/13/2026 23:57:00,8.01,24.15,-66.14
452,04/13/2026 23:58:00,8.01,24.15,-66.14
453,04/13/2026 23:59:00,8.01,24.15,-66.13
454,04/14/2026 00:00:00,8.01,24.15,-66.13
455,04/14/2026 00:01:00,8.01,24.15,-66.11
456,04/14/2026 00:02:00,8.01,24.15,-66.11
457,04/14/2026 00:03:00,8.01,24.15,-66.10
458,04/14/2026 00:04:00,8.01,24.15,-66.10
459,04/14/2026 00:05:00,8.01,24.15,-66.08
460,04/14/2026 00:06:00,8.01,24.15,-66.08
461,04/14/2026 00:07:00,8.01,24.15,-66.06
462,04/14/2026 00:08:00,8.01,24.12,-66.05
463,04/14/2026 00:09:00,8.01,24.12,-66.05
464,04/14/2026 00:10:00,8.01,24.12,-66.05
465,04/14/2026 00:11:00,8.01,24.12,-66.03
466,04/14/2026 00:12:00,8.01,24.12,-66.03
467,04/14/2026 00:13:00,8.01,24.12,-66.03
468,04/14/2026 00:14:00,8.01,24.12,-66.02
469,04/14/2026 00:15:00,8.01,24.12,-66.02
470,04/14/2026 00:16:00,8.01,24.12,-66.00
471,04/14/2026 00:17:00,8.01,24.12,-66.00
472,04/14/2026 00:18:00,8.01,24.12,-65.99
473,04/14/2026 00:19:00,8.01,24.12,-65.99
474,04/14/2026 00:20:00,8.01,24.10,-65.97
475,04/14/2026 00:21:00,8.01,24.10,-65.97
476,04/14/2026 00:22:00,8.01,24.10,-65.96
477,04/14/2026 00:23:00,8.01,24.10,-65.96
478,04/14/2026 00:24:00,8.01,24.10,-65.94
479,04/14/2026 00:25:00,8.01,24.10,-65.94
480,04/14/2026 00:26:00,8.01,24.10,-65.92
481,04/14/2026 00:27:00,8.01,24.10,-65.91
482,04/14/2026 00:28:00,8.01,24.10,-65.92
483,04/14/2026 00:29:00,8.01,24.10,-65.91
484,04/14/2026 00:30:00,8.01,24.10,-65.89
485,04/14/2026 00:31:00,8.01,24.10,-65.88
486,04/14/2026 00:32:00,8.01,24.07,-65.88
487,04/14/2026 00:33:00,8.01,24.07,-65.86
488,04/14/2026 00:34:00,8.01,24.07,-65.85
489,04/14/2026 00:35:00,8.01,24.07,-65.85
490,04/14/2026 00:36:00,8.01,24.07,-65.83
491,04/14/2026 00:37:00,8.01,24.07,-65.81
492,04/14/2026 00:38:00,8.01,24.07,-65.81
493,04/14/2026 00:39:00,8.01,24.07,-65.80
494,04/14/2026 00:40:00,8.01,24.07,-65.80
495,04/14/2026 00:41:00,8.01,24.07,-65.78
496,04/14/2026 00:42:00,8.01,24.07,-65.78
497,04/14/2026 00:43:00,8.01,24.07,-65.78
