Time,DateTIme,HST_Time,  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1773801840,3/18/26 2:44,3/17/26 16:44,3.17,24.596,7.702,0.994
1773801960,3/18/26 2:46,3/17/26 16:46,3.16,24.588,7.698,0.994
1773802080,3/18/26 2:48,3/17/26 16:48,3.16,24.58,7.688,0.993
1773802200,3/18/26 2:50,3/17/26 16:50,3.16,24.588,7.702,0.994
1773802320,3/18/26 2:52,3/17/26 16:52,3.16,24.58,7.708,0.993
1773802440,3/18/26 2:54,3/17/26 16:54,3.16,24.58,7.714,0.993
1773802560,3/18/26 2:56,3/17/26 16:56,3.17,24.571,7.705,0.993
1773802680,3/18/26 2:58,3/17/26 16:58,3.16,24.563,7.726,0.994
1773802800,3/18/26 3:00,3/17/26 17:00,3.17,24.563,7.712,0.993
1773802920,3/18/26 3:02,3/17/26 17:02,3.16,24.563,7.695,0.993
1773803040,3/18/26 3:04,3/17/26 17:04,3.16,24.563,7.699,0.993
1773803160,3/18/26 3:06,3/17/26 17:06,3.17,24.554,7.694,0.993
1773803280,3/18/26 3:08,3/17/26 17:08,3.17,24.538,7.689,0.994
1773803400,3/18/26 3:10,3/17/26 17:10,3.16,24.554,7.641,0.993
1773803520,3/18/26 3:12,3/17/26 17:12,3.17,24.538,7.617,0.993
1773803640,3/18/26 3:14,3/17/26 17:14,3.16,24.538,7.583,0.993
1773803760,3/18/26 3:16,3/17/26 17:16,3.16,24.538,7.575,0.994
1773803880,3/18/26 3:18,3/17/26 17:18,3.16,24.538,7.555,0.993
1773804000,3/18/26 3:20,3/17/26 17:20,3.16,24.529,7.54,0.993
1773804120,3/18/26 3:22,3/17/26 17:22,3.17,24.521,7.525,0.993
1773804240,3/18/26 3:24,3/17/26 17:24,3.17,24.504,7.545,0.993
1773804360,3/18/26 3:26,3/17/26 17:26,3.17,24.504,7.527,0.993
1773804480,3/18/26 3:28,3/17/26 17:28,3.17,24.512,7.545,0.993
1773804600,3/18/26 3:30,3/17/26 17:30,3.16,24.496,7.584,0.993
1773804720,3/18/26 3:32,3/17/26 17:32,3.17,24.504,7.576,0.993
1773804840,3/18/26 3:34,3/17/26 17:34,3.16,24.504,7.58,0.994
1773804960,3/18/26 3:36,3/17/26 17:36,3.16,24.496,7.568,0.993
1773805080,3/18/26 3:38,3/17/26 17:38,3.17,24.512,7.55,0.993
1773805200,3/18/26 3:40,3/17/26 17:40,3.16,24.512,7.556,0.993
1773805320,3/18/26 3:42,3/17/26 17:42,3.16,24.512,7.562,0.993
1773805440,3/18/26 3:44,3/17/26 17:44,3.16,24.529,7.575,0.993
1773805560,3/18/26 3:46,3/17/26 17:46,3.17,24.512,7.605,0.994
1773805680,3/18/26 3:48,3/17/26 17:48,3.16,24.521,7.601,0.993
1773805800,3/18/26 3:50,3/17/26 17:50,3.16,24.512,7.619,0.993
1773805920,3/18/26 3:52,3/17/26 17:52,3.17,24.512,7.614,0.994
1773806040,3/18/26 3:54,3/17/26 17:54,3.16,24.504,7.607,0.994
1773806160,3/18/26 3:56,3/17/26 17:56,3.16,24.496,7.636,0.994
1773806280,3/18/26 3:58,3/17/26 17:58,3.17,24.496,7.674,0.994
1773806400,3/18/26 4:00,3/17/26 18:00,3.17,24.512,7.696,0.994
1773806520,3/18/26 4:02,3/17/26 18:02,3.17,24.487,7.698,0.993
1773806640,3/18/26 4:04,3/17/26 18:04,3.17,24.479,7.691,0.993
1773806760,3/18/26 4:06,3/17/26 18:06,3.16,24.47,7.694,0.994
1773806880,3/18/26 4:08,3/17/26 18:08,3.17,24.487,7.664,0.993
1773807000,3/18/26 4:10,3/17/26 18:10,3.17,24.496,7.657,0.993
1773807120,3/18/26 4:12,3/17/26 18:12,3.17,24.479,7.672,0.994
1773807240,3/18/26 4:14,3/17/26 18:14,3.17,24.462,7.657,0.993
1773807360,3/18/26 4:16,3/17/26 18:16,3.16,24.462,7.656,0.994
1773807480,3/18/26 4:18,3/17/26 18:18,3.17,24.462,7.654,0.993
1773807600,3/18/26 4:20,3/17/26 18:20,3.17,24.47,7.656,0.993
1773807720,3/18/26 4:22,3/17/26 18:22,3.16,24.445,7.677,0.994
1773807840,3/18/26 4:24,3/17/26 18:24,3.17,24.454,7.664,0.993
1773807960,3/18/26 4:26,3/17/26 18:26,3.17,24.462,7.655,0.993
1773808080,3/18/26 4:28,3/17/26 18:28,3.17,24.454,7.649,0.993
1773808200,3/18/26 4:30,3/17/26 18:30,3.17,24.454,7.633,0.993
1773808320,3/18/26 4:32,3/17/26 18:32,3.17,24.454,7.616,0.994
1773808440,3/18/26 4:34,3/17/26 18:34,3.17,24.462,7.583,0.993
1773808560,3/18/26 4:36,3/17/26 18:36,3.16,24.445,7.578,0.994
1773808680,3/18/26 4:38,3/17/26 18:38,3.17,24.454,7.574,0.993
1773808800,3/18/26 4:40,3/17/26 18:40,3.17,24.437,7.573,0.993
1773808920,3/18/26 4:42,3/17/26 18:42,3.17,24.454,7.555,0.992
1773809040,3/18/26 4:44,3/17/26 18:44,3.17,24.445,7.563,0.993
1773809160,3/18/26 4:46,3/17/26 18:46,3.16,24.445,7.563,0.993
1773809280,3/18/26 4:48,3/17/26 18:48,3.17,24.445,7.561,0.993
1773809400,3/18/26 4:50,3/17/26 18:50,3.16,24.454,7.552,0.993
1773809520,3/18/26 4:52,3/17/26 18:52,3.16,24.437,7.56,0.993
1773809640,3/18/26 4:54,3/17/26 18:54,3.17,24.437,7.557,0.993
1773809760,3/18/26 4:56,3/17/26 18:56,3.17,24.437,7.582,0.994
1773809880,3/18/26 4:58,3/17/26 18:58,3.16,24.445,7.582,0.993
1773810000,3/18/26 5:00,3/17/26 19:00,3.16,24.42,7.603,0.993
1773810120,3/18/26 5:02,3/17/26 19:02,3.16,24.437,7.617,0.993
1773810240,3/18/26 5:04,3/17/26 19:04,3.17,24.462,7.614,0.993
1773810360,3/18/26 5:06,3/17/26 19:06,3.16,24.437,7.651,0.994
1773810480,3/18/26 5:08,3/17/26 19:08,3.17,24.429,7.646,0.993
1773810600,3/18/26 5:10,3/17/26 19:10,3.16,24.437,7.641,0.993
1773810720,3/18/26 5:12,3/17/26 19:12,3.16,24.429,7.628,0.993
1773810840,3/18/26 5:14,3/17/26 19:14,3.17,24.454,7.615,0.994
1773810960,3/18/26 5:16,3/17/26 19:16,3.17,24.437,7.593,0.993
1773811080,3/18/26 5:18,3/17/26 19:18,3.16,24.445,7.567,0.993
1773811200,3/18/26 5:20,3/17/26 19:20,3.16,24.445,7.524,0.993
1773811320,3/18/26 5:22,3/17/26 19:22,3.17,24.437,7.492,0.993
1773811440,3/18/26 5:24,3/17/26 19:24,3.16,24.445,7.459,0.993
1773811560,3/18/26 5:26,3/17/26 19:26,3.17,24.445,7.446,0.994
1773811680,3/18/26 5:28,3/17/26 19:28,3.17,24.462,7.401,0.993
1773811800,3/18/26 5:30,3/17/26 19:30,3.16,24.445,7.382,0.993
1773811920,3/18/26 5:32,3/17/26 19:32,3.17,24.445,7.37,0.993
1773812040,3/18/26 5:34,3/17/26 19:34,3.17,24.454,7.351,0.993
1773812160,3/18/26 5:36,3/17/26 19:36,3.16,24.445,7.362,0.994
1773812280,3/18/26 5:38,3/17/26 19:38,3.16,24.437,7.372,0.993
1773812400,3/18/26 5:40,3/17/26 19:40,3.16,24.429,7.38,0.993
1773812520,3/18/26 5:42,3/17/26 19:42,3.16,24.437,7.38,0.993
1773812640,3/18/26 5:44,3/17/26 19:44,3.16,24.437,7.391,0.993
1773812760,3/18/26 5:46,3/17/26 19:46,3.16,24.437,7.431,0.993
1773812880,3/18/26 5:48,3/17/26 19:48,3.17,24.445,7.472,0.993
1773813000,3/18/26 5:50,3/17/26 19:50,3.16,24.445,7.51,0.994
1773813120,3/18/26 5:52,3/17/26 19:52,3.17,24.437,7.533,0.993
1773813240,3/18/26 5:54,3/17/26 19:54,3.16,24.454,7.561,0.993
1773813360,3/18/26 5:56,3/17/26 19:56,3.16,24.437,7.583,0.993
1773813480,3/18/26 5:58,3/17/26 19:58,3.16,24.462,7.587,0.993
1773813600,3/18/26 6:00,3/17/26 20:00,3.16,24.437,7.618,0.994
1773813720,3/18/26 6:02,3/17/26 20:02,3.16,24.437,7.632,0.993
1773813840,3/18/26 6:04,3/17/26 20:04,3.16,24.445,7.659,0.993
1773813960,3/18/26 6:06,3/17/26 20:06,3.16,24.429,7.711,0.993
1773814080,3/18/26 6:08,3/17/26 20:08,3.16,24.437,7.762,0.994
1773814200,3/18/26 6:10,3/17/26 20:10,3.16,24.445,7.802,0.994
1773814320,3/18/26 6:12,3/17/26 20:12,3.16,24.437,7.843,0.994
1773814440,3/18/26 6:14,3/17/26 20:14,3.17,24.437,7.855,0.994
1773814560,3/18/26 6:16,3/17/26 20:16,3.17,24.454,7.855,0.994
1773814680,3/18/26 6:18,3/17/26 20:18,3.17,24.454,7.856,0.994
1773814800,3/18/26 6:20,3/17/26 20:20,3.16,24.445,7.852,0.994
1773814920,3/18/26 6:22,3/17/26 20:22,3.16,24.454,7.889,0.995
1773815040,3/18/26 6:24,3/17/26 20:24,3.16,24.437,7.858,0.994
1773815160,3/18/26 6:26,3/17/26 20:26,3.16,24.437,7.837,0.993
1773815280,3/18/26 6:28,3/17/26 20:28,3.16,24.454,7.836,0.995
1773815400,3/18/26 6:30,3/17/26 20:30,3.16,24.445,7.8,0.993
1773815520,3/18/26 6:32,3/17/26 20:32,3.16,24.462,7.784,0.994
1773815640,3/18/26 6:34,3/17/26 20:34,3.16,24.437,7.777,0.994
1773815760,3/18/26 6:36,3/17/26 20:36,3.16,24.462,7.776,0.994
1773815880,3/18/26 6:38,3/17/26 20:38,3.16,24.437,7.792,0.994
1773816000,3/18/26 6:40,3/17/26 20:40,3.16,24.445,7.802,0.994
1773816120,3/18/26 6:42,3/17/26 20:42,3.16,24.445,7.792,0.993
1773816240,3/18/26 6:44,3/17/26 20:44,3.16,24.445,7.762,0.994
1773816360,3/18/26 6:46,3/17/26 20:46,3.16,24.454,7.724,0.993
1773816480,3/18/26 6:48,3/17/26 20:48,3.16,24.445,7.713,0.994
1773816600,3/18/26 6:50,3/17/26 20:50,3.16,24.437,7.721,0.994
1773816720,3/18/26 6:52,3/17/26 20:52,3.16,24.454,7.745,0.994
1773816840,3/18/26 6:54,3/17/26 20:54,3.16,24.462,7.772,0.993
1773816960,3/18/26 6:56,3/17/26 20:56,3.16,24.462,7.816,0.993
1773817080,3/18/26 6:58,3/17/26 20:58,3.16,24.445,7.847,0.993
1773817200,3/18/26 7:00,3/17/26 21:00,3.16,24.462,7.87,0.994
1773817320,3/18/26 7:02,3/17/26 21:02,3.16,24.437,7.882,0.993
1773817440,3/18/26 7:04,3/17/26 21:04,3.16,24.437,7.896,0.994
1773817560,3/18/26 7:06,3/17/26 21:06,3.16,24.462,7.884,0.994
1773817680,3/18/26 7:08,3/17/26 21:08,3.16,24.437,7.896,0.994
1773817800,3/18/26 7:10,3/17/26 21:10,3.16,24.437,7.908,0.994
1773817920,3/18/26 7:12,3/17/26 21:12,3.16,24.437,7.901,0.994
1773818040,3/18/26 7:14,3/17/26 21:14,3.16,24.454,7.9,0.994
1773818160,3/18/26 7:16,3/17/26 21:16,3.16,24.445,7.901,0.994
1773818280,3/18/26 7:18,3/17/26 21:18,3.16,24.437,7.909,0.994
1773818400,3/18/26 7:20,3/17/26 21:20,3.16,24.454,7.885,0.994
1773818520,3/18/26 7:22,3/17/26 21:22,3.16,24.47,7.863,0.993
1773818640,3/18/26 7:24,3/17/26 21:24,3.16,24.454,7.834,0.993
1773818760,3/18/26 7:26,3/17/26 21:26,3.16,24.445,7.816,0.994
1773818880,3/18/26 7:28,3/17/26 21:28,3.16,24.437,7.797,0.994
1773819000,3/18/26 7:30,3/17/26 21:30,3.16,24.445,7.78,0.993
1773819120,3/18/26 7:32,3/17/26 21:32,3.16,24.437,7.794,0.994
1773819240,3/18/26 7:34,3/17/26 21:34,3.16,24.437,7.802,0.994
1773819360,3/18/26 7:36,3/17/26 21:36,3.16,24.445,7.771,0.993
1773819480,3/18/26 7:38,3/17/26 21:38,3.16,24.445,7.751,0.993
1773819600,3/18/26 7:40,3/17/26 21:40,3.16,24.454,7.724,0.993
1773819720,3/18/26 7:42,3/17/26 21:42,3.16,24.437,7.716,0.994
1773819840,3/18/26 7:44,3/17/26 21:44,3.16,24.445,7.695,0.994
1773819960,3/18/26 7:46,3/17/26 21:46,3.16,24.437,7.656,0.993
1773820080,3/18/26 7:48,3/17/26 21:48,3.16,24.437,7.605,0.993
1773820200,3/18/26 7:50,3/17/26 21:50,3.16,24.42,7.534,0.993
1773820320,3/18/26 7:52,3/17/26 21:52,3.16,24.454,7.451,0.993
1773820440,3/18/26 7:54,3/17/26 21:54,3.16,24.429,7.441,0.993
1773820560,3/18/26 7:56,3/17/26 21:56,3.16,24.429,7.424,0.993
1773820680,3/18/26 7:58,3/17/26 21:58,3.16,24.437,7.425,0.994
1773820800,3/18/26 8:00,3/17/26 22:00,3.16,24.42,7.419,0.994
1773820920,3/18/26 8:02,3/17/26 22:02,3.16,24.445,7.393,0.993
1773821040,3/18/26 8:04,3/17/26 22:04,3.16,24.445,7.394,0.994
1773821160,3/18/26 8:06,3/17/26 22:06,3.16,24.437,7.398,0.994
1773821280,3/18/26 8:08,3/17/26 22:08,3.16,24.429,7.386,0.993
1773821400,3/18/26 8:10,3/17/26 22:10,3.16,24.445,7.411,0.993
1773821520,3/18/26 8:12,3/17/26 22:12,3.16,24.445,7.459,0.993
1773821640,3/18/26 8:14,3/17/26 22:14,3.16,24.445,7.482,0.994
1773821760,3/18/26 8:16,3/17/26 22:16,3.16,24.437,7.473,0.993
1773821880,3/18/26 8:18,3/17/26 22:18,3.16,24.429,7.477,0.993
1773822000,3/18/26 8:20,3/17/26 22:20,3.16,24.445,7.462,0.993
1773822120,3/18/26 8:22,3/17/26 22:22,3.16,24.437,7.446,0.994
1773822240,3/18/26 8:24,3/17/26 22:24,3.16,24.445,7.428,0.993
1773822360,3/18/26 8:26,3/17/26 22:26,3.16,24.429,7.413,0.993
1773822480,3/18/26 8:28,3/17/26 22:28,3.16,24.437,7.408,0.993
1773822600,3/18/26 8:30,3/17/26 22:30,3.16,24.445,7.407,0.993
1773822720,3/18/26 8:32,3/17/26 22:32,3.16,24.412,7.429,0.993
1773822840,3/18/26 8:34,3/17/26 22:34,3.16,24.429,7.427,0.993
1773822960,3/18/26 8:36,3/17/26 22:36,3.16,24.445,7.414,0.993
1773823080,3/18/26 8:38,3/17/26 22:38,3.16,24.429,7.415,0.994
1773823200,3/18/26 8:40,3/17/26 22:40,3.16,24.454,7.393,0.994
1773823320,3/18/26 8:42,3/17/26 22:42,3.16,24.445,7.365,0.993
1773823440,3/18/26 8:44,3/17/26 22:44,3.16,24.445,7.377,0.993
1773823560,3/18/26 8:46,3/17/26 22:46,3.16,24.454,7.381,0.993
1773823680,3/18/26 8:48,3/17/26 22:48,3.16,24.445,7.409,0.993
1773823800,3/18/26 8:50,3/17/26 22:50,3.16,24.429,7.425,0.993
1773823920,3/18/26 8:52,3/17/26 22:52,3.16,24.445,7.397,0.993
1773824040,3/18/26 8:54,3/17/26 22:54,3.16,24.437,7.403,0.994
1773824160,3/18/26 8:56,3/17/26 22:56,3.16,24.437,7.39,0.993
1773824280,3/18/26 8:58,3/17/26 22:58,3.16,24.445,7.377,0.993
1773824400,3/18/26 9:00,3/17/26 23:00,3.16,24.437,7.377,0.993
1773824520,3/18/26 9:02,3/17/26 23:02,3.16,24.429,7.383,0.993
1773824640,3/18/26 9:04,3/17/26 23:04,3.16,24.429,7.369,0.993
1773824760,3/18/26 9:06,3/17/26 23:06,3.16,24.429,7.355,0.993
1773824880,3/18/26 9:08,3/17/26 23:08,3.16,24.437,7.366,0.993
1773825000,3/18/26 9:10,3/17/26 23:10,3.16,24.445,7.363,0.993
1773825120,3/18/26 9:12,3/17/26 23:12,3.16,24.445,7.339,0.993
1773825240,3/18/26 9:14,3/17/26 23:14,3.16,24.454,7.305,0.993
1773825360,3/18/26 9:16,3/17/26 23:16,3.16,24.445,7.304,0.993
1773825480,3/18/26 9:18,3/17/26 23:18,3.16,24.445,7.296,0.993
1773825600,3/18/26 9:20,3/17/26 23:20,3.16,24.437,7.298,0.994
1773825720,3/18/26 9:22,3/17/26 23:22,3.16,24.445,7.291,0.993
1773825840,3/18/26 9:24,3/17/26 23:24,3.16,24.454,7.296,0.993
1773825960,3/18/26 9:26,3/17/26 23:26,3.16,24.445,7.302,0.993
1773826080,3/18/26 9:28,3/17/26 23:28,3.16,24.445,7.321,0.994
1773826200,3/18/26 9:30,3/17/26 23:30,3.16,24.445,7.34,0.993
1773826320,3/18/26 9:32,3/17/26 23:32,3.16,24.437,7.348,0.993
1773826440,3/18/26 9:34,3/17/26 23:34,3.16,24.454,7.347,0.992
1773826560,3/18/26 9:36,3/17/26 23:36,3.16,24.437,7.374,0.993
1773826680,3/18/26 9:38,3/17/26 23:38,3.16,24.445,7.382,0.993
1773826800,3/18/26 9:40,3/17/26 23:40,3.16,24.454,7.407,0.994
1773826920,3/18/26 9:42,3/17/26 23:42,3.16,24.429,7.421,0.993
1773827040,3/18/26 9:44,3/17/26 23:44,3.16,24.445,7.417,0.994
1773827160,3/18/26 9:46,3/17/26 23:46,3.16,24.454,7.399,0.993
1773827280,3/18/26 9:48,3/17/26 23:48,3.16,24.445,7.402,0.994
1773827400,3/18/26 9:50,3/17/26 23:50,3.16,24.437,7.381,0.993
1773827520,3/18/26 9:52,3/17/26 23:52,3.16,24.445,7.37,0.993
1773827640,3/18/26 9:54,3/17/26 23:54,3.16,24.437,7.358,0.992
1773827760,3/18/26 9:56,3/17/26 23:56,3.16,24.445,7.362,0.993
1773827880,3/18/26 9:58,3/17/26 23:58,3.16,24.429,7.363,0.993
1773828000,3/18/26 10:00,3/18/26 0:00,3.16,24.429,7.389,0.994
1773828120,3/18/26 10:02,3/18/26 0:02,3.16,24.445,7.393,0.993
1773828240,3/18/26 10:04,3/18/26 0:04,3.16,24.445,7.394,0.993
1773828360,3/18/26 10:06,3/18/26 0:06,3.16,24.437,7.394,0.993
1773828480,3/18/26 10:08,3/18/26 0:08,3.16,24.454,7.38,0.993
1773828600,3/18/26 10:10,3/18/26 0:10,3.16,24.445,7.366,0.993
1773828720,3/18/26 10:12,3/18/26 0:12,3.16,24.445,7.358,0.993
1773828840,3/18/26 10:14,3/18/26 0:14,3.16,24.445,7.341,0.993
1773828960,3/18/26 10:16,3/18/26 0:16,3.16,24.437,7.35,0.993
1773829080,3/18/26 10:18,3/18/26 0:18,3.16,24.454,7.364,0.993
1773829200,3/18/26 10:20,3/18/26 0:20,3.16,24.454,7.369,0.993
1773829320,3/18/26 10:22,3/18/26 0:22,3.16,24.437,7.375,0.993
1773829440,3/18/26 10:24,3/18/26 0:24,3.16,24.429,7.385,0.993
1773829560,3/18/26 10:26,3/18/26 0:26,3.16,24.445,7.379,0.993
1773829680,3/18/26 10:28,3/18/26 0:28,3.16,24.429,7.389,0.993
1773829800,3/18/26 10:30,3/18/26 0:30,3.16,24.445,7.383,0.993
1773829920,3/18/26 10:32,3/18/26 0:32,3.16,24.454,7.392,0.993
1773830040,3/18/26 10:34,3/18/26 0:34,3.16,24.437,7.4,0.993
1773830160,3/18/26 10:36,3/18/26 0:36,3.16,24.445,7.398,0.993
1773830280,3/18/26 10:38,3/18/26 0:38,3.16,24.429,7.41,0.994
1773830400,3/18/26 10:40,3/18/26 0:40,3.16,24.437,7.389,0.993
1773830520,3/18/26 10:42,3/18/26 0:42,3.16,24.445,7.379,0.993
1773830640,3/18/26 10:44,3/18/26 0:44,3.16,24.437,7.376,0.993
1773830760,3/18/26 10:46,3/18/26 0:46,3.16,24.437,7.381,0.993
1773830880,3/18/26 10:48,3/18/26 0:48,3.16,24.437,7.394,0.993
1773831000,3/18/26 10:50,3/18/26 0:50,3.16,24.429,7.42,0.994
1773831120,3/18/26 10:52,3/18/26 0:52,3.16,24.437,7.436,0.993
1773831240,3/18/26 10:54,3/18/26 0:54,3.16,24.437,7.449,0.993
1773831360,3/18/26 10:56,3/18/26 0:56,3.16,24.429,7.458,0.994
1773831480,3/18/26 10:58,3/18/26 0:58,3.16,24.42,7.451,0.993
1773831600,3/18/26 11:00,3/18/26 1:00,3.16,24.42,7.43,0.993
1773831720,3/18/26 11:02,3/18/26 1:02,3.16,24.42,7.446,0.994
1773831840,3/18/26 11:04,3/18/26 1:04,3.16,24.42,7.435,0.994
1773831960,3/18/26 11:06,3/18/26 1:06,3.16,24.42,7.431,0.993
1773832080,3/18/26 11:08,3/18/26 1:08,3.16,24.437,7.4,0.992
1773832200,3/18/26 11:10,3/18/26 1:10,3.16,24.429,7.391,0.994
1773832320,3/18/26 11:12,3/18/26 1:12,3.16,24.42,7.366,0.994
1773832440,3/18/26 11:14,3/18/26 1:14,3.16,24.403,7.325,0.993
1773832560,3/18/26 11:16,3/18/26 1:16,3.16,24.429,7.298,0.993
1773832680,3/18/26 11:18,3/18/26 1:18,3.16,24.412,7.301,0.994
1773832800,3/18/26 11:20,3/18/26 1:20,3.16,24.429,7.285,0.993
1773832920,3/18/26 11:22,3/18/26 1:22,3.16,24.412,7.299,0.993
1773833040,3/18/26 11:24,3/18/26 1:24,3.16,24.429,7.308,0.993
1773833160,3/18/26 11:26,3/18/26 1:26,3.16,24.412,7.311,0.993
1773833280,3/18/26 11:28,3/18/26 1:28,3.16,24.429,7.299,0.993
1773833400,3/18/26 11:30,3/18/26 1:30,3.16,24.42,7.313,0.993
1773833520,3/18/26 11:32,3/18/26 1:32,3.16,24.42,7.326,0.994
1773833640,3/18/26 11:34,3/18/26 1:34,3.16,24.412,7.325,0.993
1773833760,3/18/26 11:36,3/18/26 1:36,3.16,24.412,7.331,0.993
1773833880,3/18/26 11:38,3/18/26 1:38,3.16,24.412,7.332,0.994
1773834000,3/18/26 11:40,3/18/26 1:40,3.16,24.429,7.32,0.993
1773834120,3/18/26 11:42,3/18/26 1:42,3.16,24.412,7.303,0.993
1773834240,3/18/26 11:44,3/18/26 1:44,3.16,24.412,7.288,0.993
1773834360,3/18/26 11:46,3/18/26 1:46,3.16,24.42,7.29,0.993
1773834480,3/18/26 11:48,3/18/26 1:48,3.16,24.429,7.301,0.994
1773834600,3/18/26 11:50,3/18/26 1:50,3.16,24.42,7.308,0.994
1773834720,3/18/26 11:52,3/18/26 1:52,3.16,24.412,7.321,0.993
1773834840,3/18/26 11:54,3/18/26 1:54,3.16,24.42,7.366,0.994
1773834960,3/18/26 11:56,3/18/26 1:56,3.16,24.412,7.398,0.993
1773835080,3/18/26 11:58,3/18/26 1:58,3.16,24.42,7.407,0.994
1773835200,3/18/26 12:00,3/18/26 2:00,3.16,24.42,7.424,0.994
1773835320,3/18/26 12:02,3/18/26 2:02,3.16,24.412,7.426,0.992
1773835440,3/18/26 12:04,3/18/26 2:04,3.16,24.412,7.447,0.993
1773835560,3/18/26 12:06,3/18/26 2:06,3.16,24.395,7.451,0.993
1773835680,3/18/26 12:08,3/18/26 2:08,3.16,24.42,7.441,0.993
1773835800,3/18/26 12:10,3/18/26 2:10,3.16,24.429,7.453,0.994
1773835920,3/18/26 12:12,3/18/26 2:12,3.16,24.429,7.46,0.994
1773836040,3/18/26 12:14,3/18/26 2:14,3.16,24.403,7.451,0.993
1773836160,3/18/26 12:16,3/18/26 2:16,3.16,24.42,7.432,0.993
1773836280,3/18/26 12:18,3/18/26 2:18,3.16,24.412,7.446,0.994
1773836400,3/18/26 12:20,3/18/26 2:20,3.16,24.412,7.466,0.994
1773836520,3/18/26 12:22,3/18/26 2:22,3.16,24.412,7.464,0.993
1773836640,3/18/26 12:24,3/18/26 2:24,3.16,24.412,7.493,0.994
1773836760,3/18/26 12:26,3/18/26 2:26,3.16,24.412,7.506,0.994
1773836880,3/18/26 12:28,3/18/26 2:28,3.16,24.403,7.514,0.993
1773837000,3/18/26 12:30,3/18/26 2:30,3.16,24.412,7.522,0.993
