Instrument,Tank,DateTime,pH,Temperature,Millivolts
pH1,Sump5,3/17/26 17:05,8.1,24.53,-72.92
pH1,Sump5,3/17/26 17:06,8.1,24.53,-72.91
pH1,Sump5,3/17/26 17:07,8.1,24.51,-72.91
pH1,Sump5,3/17/26 17:08,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:09,8.1,24.51,-72.88
pH1,Sump5,3/17/26 17:10,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:11,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:12,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:13,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:14,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:15,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:16,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:17,8.1,24.51,-72.91
pH1,Sump5,3/17/26 17:18,8.1,24.51,-72.96
pH1,Sump5,3/17/26 17:19,8.1,24.51,-72.92
pH1,Sump5,3/17/26 17:20,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:21,8.1,24.51,-72.89
pH1,Sump5,3/17/26 17:22,8.1,24.51,-72.88
pH1,Sump5,3/17/26 17:23,8.1,24.51,-72.86
pH1,Sump5,3/17/26 17:24,8.1,24.51,-72.86
pH1,Sump5,3/17/26 17:25,8.1,24.51,-72.86
pH1,Sump5,3/17/26 17:26,8.1,24.51,-72.88
pH1,Sump5,3/17/26 17:27,8.1,24.48,-72.89
pH1,Sump5,3/17/26 17:28,8.1,24.48,-72.91
pH1,Sump5,3/17/26 17:29,8.1,24.48,-72.92
pH1,Sump5,3/17/26 17:30,8.1,24.48,-72.92
pH1,Sump5,3/17/26 17:31,8.1,24.48,-72.92
pH1,Sump5,3/17/26 17:32,8.1,24.48,-72.92
pH1,Sump5,3/17/26 17:33,8.1,24.48,-73
pH1,Sump5,3/17/26 17:34,8.1,24.48,-73
pH1,Sump5,3/17/26 17:35,8.1,24.48,-73
pH1,Sump5,3/17/26 17:36,8.1,24.48,-73
pH1,Sump5,3/17/26 17:37,8.1,24.48,-73
pH1,Sump5,3/17/26 17:38,8.1,24.48,-72.99
pH1,Sump5,3/17/26 17:39,8.1,24.51,-72.99
pH1,Sump5,3/17/26 17:40,8.1,24.51,-72.99
pH1,Sump5,3/17/26 17:41,8.1,24.51,-73
pH1,Sump5,3/17/26 17:42,8.1,24.51,-73.03
pH1,Sump5,3/17/26 17:43,8.1,24.51,-73.08
pH1,Sump5,3/17/26 17:44,8.1,24.51,-73.11
pH1,Sump5,3/17/26 17:45,8.1,24.51,-73.17
pH1,Sump5,3/17/26 17:46,8.1,24.51,-73.19
pH1,Sump5,3/17/26 17:47,8.1,24.51,-73.24
pH1,Sump5,3/17/26 17:48,8.11,24.51,-73.31
pH1,Sump5,3/17/26 17:49,8.1,24.51,-73.3
pH1,Sump5,3/17/26 17:50,8.1,24.51,-73.28
pH1,Sump5,3/17/26 17:51,8.1,24.51,-73.27
pH1,Sump5,3/17/26 17:52,8.1,24.51,-73.24
pH1,Sump5,3/17/26 17:53,8.1,24.51,-73.17
pH1,Sump5,3/17/26 17:54,8.1,24.51,-73.14
pH1,Sump5,3/17/26 17:55,8.1,24.51,-73.16
pH1,Sump5,3/17/26 17:56,8.1,24.51,-73.21
pH1,Sump5,3/17/26 17:57,8.1,24.51,-73.28
pH1,Sump5,3/17/26 17:58,8.11,24.48,-73.35
pH1,Sump5,3/17/26 17:59,8.11,24.48,-73.41
pH1,Sump5,3/17/26 18:00,8.11,24.48,-73.44
pH1,Sump5,3/17/26 18:01,8.11,24.48,-73.49
pH1,Sump5,3/17/26 18:02,8.11,24.48,-73.5
pH1,Sump5,3/17/26 18:03,8.11,24.48,-73.56
pH1,Sump5,3/17/26 18:04,8.11,24.48,-73.53
pH1,Sump5,3/17/26 18:05,8.11,24.48,-73.5
pH1,Sump5,3/17/26 18:06,8.11,24.48,-73.49
pH1,Sump5,3/17/26 18:07,8.11,24.48,-73.47
pH1,Sump5,3/17/26 18:08,8.11,24.48,-73.44
pH1,Sump5,3/17/26 18:09,8.11,24.48,-73.41
pH1,Sump5,3/17/26 18:10,8.11,24.48,-73.39
pH1,Sump5,3/17/26 18:11,8.11,24.48,-73.38
pH1,Sump5,3/17/26 18:12,8.11,24.48,-73.36
pH1,Sump5,3/17/26 18:13,8.11,24.48,-73.36
pH1,Sump5,3/17/26 18:14,8.11,24.48,-73.36
pH1,Sump5,3/17/26 18:15,8.11,24.48,-73.35
pH1,Sump5,3/17/26 18:16,8.11,24.48,-73.35
pH1,Sump5,3/17/26 18:17,8.11,24.48,-73.33
pH1,Sump5,3/17/26 18:18,8.11,24.48,-73.39
pH1,Sump5,3/17/26 18:19,8.11,24.48,-73.39
pH1,Sump5,3/17/26 18:20,8.11,24.48,-73.39
pH1,Sump5,3/17/26 18:21,8.11,24.48,-73.41
pH1,Sump5,3/17/26 18:22,8.11,24.48,-73.39
pH1,Sump5,3/17/26 18:23,8.11,24.48,-73.39
pH1,Sump5,3/17/26 18:24,8.11,24.48,-73.38
pH1,Sump5,3/17/26 18:25,8.11,24.48,-73.35
pH1,Sump5,3/17/26 18:26,8.11,24.48,-73.33
pH1,Sump5,3/17/26 18:27,8.11,24.48,-73.31
pH1,Sump5,3/17/26 18:28,8.1,24.48,-73.28
pH1,Sump5,3/17/26 18:29,8.1,24.48,-73.27
pH1,Sump5,3/17/26 18:30,8.1,24.48,-73.25
pH1,Sump5,3/17/26 18:31,8.1,24.48,-73.22
pH1,Sump5,3/17/26 18:32,8.1,24.46,-73.17
pH1,Sump5,3/17/26 18:33,8.1,24.46,-73.17
pH1,Sump5,3/17/26 18:34,8.1,24.46,-73.13
pH1,Sump5,3/17/26 18:35,8.1,24.46,-73.1
pH1,Sump5,3/17/26 18:36,8.1,24.46,-73.08
pH1,Sump5,3/17/26 18:37,8.1,24.46,-73.06
pH1,Sump5,3/17/26 18:38,8.1,24.46,-73.05
pH1,Sump5,3/17/26 18:39,8.1,24.46,-73.03
pH1,Sump5,3/17/26 18:40,8.1,24.46,-73.02
pH1,Sump5,3/17/26 18:41,8.1,24.46,-72.99
pH1,Sump5,3/17/26 18:42,8.1,24.46,-72.96
pH1,Sump5,3/17/26 18:43,8.1,24.46,-72.96
pH1,Sump5,3/17/26 18:44,8.1,24.46,-72.96
pH1,Sump5,3/17/26 18:45,8.1,24.46,-72.97
pH1,Sump5,3/17/26 18:46,8.1,24.46,-72.96
pH1,Sump5,3/17/26 18:47,8.1,24.46,-72.94
pH1,Sump5,3/17/26 18:48,8.1,24.46,-72.99
pH1,Sump5,3/17/26 18:49,8.1,24.46,-72.94
pH1,Sump5,3/17/26 18:50,8.1,24.46,-72.92
pH1,Sump5,3/17/26 18:51,8.1,24.46,-72.92
pH1,Sump5,3/17/26 18:52,8.1,24.46,-72.92
pH1,Sump5,3/17/26 18:53,8.1,24.46,-72.92
pH1,Sump5,3/17/26 18:54,8.1,24.46,-72.94
pH1,Sump5,3/17/26 18:55,8.1,24.46,-72.94
pH1,Sump5,3/17/26 18:56,8.1,24.46,-72.96
pH1,Sump5,3/17/26 18:57,8.1,24.46,-72.97
pH1,Sump5,3/17/26 18:58,8.1,24.46,-73.03
pH1,Sump5,3/17/26 18:59,8.1,24.46,-73.05
pH1,Sump5,3/17/26 19:00,8.1,24.46,-73.08
pH1,Sump5,3/17/26 19:01,8.1,24.46,-73.1
pH1,Sump5,3/17/26 19:02,8.1,24.46,-73.11
pH1,Sump5,3/17/26 19:03,8.1,24.46,-73.17
pH1,Sump5,3/17/26 19:04,8.1,24.46,-73.17
pH1,Sump5,3/17/26 19:05,8.1,24.46,-73.17
pH1,Sump5,3/17/26 19:06,8.1,24.46,-73.19
pH1,Sump5,3/17/26 19:07,8.1,24.46,-73.21
pH1,Sump5,3/17/26 19:08,8.1,24.46,-73.22
pH1,Sump5,3/17/26 19:09,8.1,24.46,-73.22
pH1,Sump5,3/17/26 19:10,8.1,24.46,-73.21
pH1,Sump5,3/17/26 19:11,8.1,24.46,-73.21
pH1,Sump5,3/17/26 19:12,8.1,24.46,-73.19
pH1,Sump5,3/17/26 19:13,8.1,24.46,-73.16
pH1,Sump5,3/17/26 19:14,8.1,24.46,-73.13
pH1,Sump5,3/17/26 19:15,8.1,24.46,-73.08
pH1,Sump5,3/17/26 19:16,8.1,24.46,-73.05
pH1,Sump5,3/17/26 19:17,8.1,24.46,-72.99
pH1,Sump5,3/17/26 19:18,8.1,24.46,-73
pH1,Sump5,3/17/26 19:19,8.1,24.46,-72.92
pH1,Sump5,3/17/26 19:20,8.1,24.46,-72.86
pH1,Sump5,3/17/26 19:21,8.1,24.46,-72.78
pH1,Sump5,3/17/26 19:22,8.09,24.46,-72.71
pH1,Sump5,3/17/26 19:23,8.09,24.46,-72.64
pH1,Sump5,3/17/26 19:24,8.09,24.46,-72.58
pH1,Sump5,3/17/26 19:25,8.09,24.46,-72.55
pH1,Sump5,3/17/26 19:26,8.09,24.46,-72.5
pH1,Sump5,3/17/26 19:27,8.09,24.46,-72.47
pH1,Sump5,3/17/26 19:28,8.09,24.46,-72.42
pH1,Sump5,3/17/26 19:29,8.09,24.46,-72.38
pH1,Sump5,3/17/26 19:30,8.09,24.46,-72.35
pH1,Sump5,3/17/26 19:31,8.09,24.46,-72.3
pH1,Sump5,3/17/26 19:32,8.09,24.46,-72.27
pH1,Sump5,3/17/26 19:33,8.09,24.46,-72.33
pH1,Sump5,3/17/26 19:34,8.09,24.46,-72.31
pH1,Sump5,3/17/26 19:35,8.09,24.46,-72.31
pH1,Sump5,3/17/26 19:36,8.09,24.46,-72.31
pH1,Sump5,3/17/26 19:37,8.09,24.46,-72.31
pH1,Sump5,3/17/26 19:38,8.09,24.46,-72.33
pH1,Sump5,3/17/26 19:39,8.09,24.46,-72.33
pH1,Sump5,3/17/26 19:40,8.09,24.46,-72.33
pH1,Sump5,3/17/26 19:41,8.09,24.46,-72.33
pH1,Sump5,3/17/26 19:42,8.09,24.46,-72.33
pH1,Sump5,3/17/26 19:43,8.09,24.46,-72.35
pH1,Sump5,3/17/26 19:44,8.09,24.46,-72.35
pH1,Sump5,3/17/26 19:45,8.09,24.46,-72.36
pH1,Sump5,3/17/26 19:46,8.09,24.46,-72.39
pH1,Sump5,3/17/26 19:47,8.09,24.46,-72.46
pH1,Sump5,3/17/26 19:48,8.09,24.46,-72.6
pH1,Sump5,3/17/26 19:49,8.09,24.46,-72.61
pH1,Sump5,3/17/26 19:50,8.09,24.46,-72.64
pH1,Sump5,3/17/26 19:51,8.09,24.46,-72.69
pH1,Sump5,3/17/26 19:52,8.1,24.46,-72.74
pH1,Sump5,3/17/26 19:53,8.1,24.46,-72.75
pH1,Sump5,3/17/26 19:54,8.1,24.46,-72.8
pH1,Sump5,3/17/26 19:55,8.1,24.46,-72.8
pH1,Sump5,3/17/26 19:56,8.1,24.46,-72.83
pH1,Sump5,3/17/26 19:57,8.1,24.46,-72.88
pH1,Sump5,3/17/26 19:58,8.1,24.46,-72.89
pH1,Sump5,3/17/26 19:59,8.1,24.46,-72.91
pH1,Sump5,3/17/26 20:00,8.1,24.46,-72.92
pH1,Sump5,3/17/26 20:01,8.1,24.46,-72.94
pH1,Sump5,3/17/26 20:02,8.1,24.46,-72.97
pH1,Sump5,3/17/26 20:03,8.1,24.46,-73.1
pH1,Sump5,3/17/26 20:04,8.1,24.46,-73.14
pH1,Sump5,3/17/26 20:05,8.1,24.46,-73.22
pH1,Sump5,3/17/26 20:06,8.11,24.46,-73.31
pH1,Sump5,3/17/26 20:07,8.11,24.48,-73.41
pH1,Sump5,3/17/26 20:08,8.11,24.48,-73.49
pH1,Sump5,3/17/26 20:09,8.11,24.48,-73.6
pH1,Sump5,3/17/26 20:10,8.11,24.46,-73.64
pH1,Sump5,3/17/26 20:11,8.11,24.46,-73.72
pH1,Sump5,3/17/26 20:12,8.11,24.46,-73.77
pH1,Sump5,3/17/26 20:13,8.11,24.46,-73.8
pH1,Sump5,3/17/26 20:14,8.11,24.46,-73.85
pH1,Sump5,3/17/26 20:15,8.12,24.48,-73.88
pH1,Sump5,3/17/26 20:16,8.12,24.48,-73.89
pH1,Sump5,3/17/26 20:17,8.12,24.48,-73.91
pH1,Sump5,3/17/26 20:18,8.12,24.48,-73.97
pH1,Sump5,3/17/26 20:19,8.12,24.48,-73.94
pH1,Sump5,3/17/26 20:20,8.12,24.48,-73.92
pH1,Sump5,3/17/26 20:21,8.12,24.48,-73.88
pH1,Sump5,3/17/26 20:22,8.11,24.48,-73.86
pH1,Sump5,3/17/26 20:23,8.11,24.48,-73.85
pH1,Sump5,3/17/26 20:24,8.11,24.48,-73.83
pH1,Sump5,3/17/26 20:25,8.11,24.48,-73.81
pH1,Sump5,3/17/26 20:26,8.11,24.48,-73.78
pH1,Sump5,3/17/26 20:27,8.11,24.48,-73.75
pH1,Sump5,3/17/26 20:28,8.11,24.48,-73.72
pH1,Sump5,3/17/26 20:29,8.11,24.48,-73.71
pH1,Sump5,3/17/26 20:30,8.11,24.48,-73.67
pH1,Sump5,3/17/26 20:31,8.11,24.48,-73.64
pH1,Sump5,3/17/26 20:32,8.11,24.48,-73.61
pH1,Sump5,3/17/26 20:33,8.11,24.48,-73.64
pH1,Sump5,3/17/26 20:34,8.11,24.48,-73.61
pH1,Sump5,3/17/26 20:35,8.11,24.48,-73.6
pH1,Sump5,3/17/26 20:36,8.11,24.48,-73.6
pH1,Sump5,3/17/26 20:37,8.11,24.48,-73.6
pH1,Sump5,3/17/26 20:38,8.11,24.48,-73.61
pH1,Sump5,3/17/26 20:39,8.11,24.48,-73.63
pH1,Sump5,3/17/26 20:40,8.11,24.48,-73.66
pH1,Sump5,3/17/26 20:41,8.11,24.48,-73.67
pH1,Sump5,3/17/26 20:42,8.11,24.48,-73.67
pH1,Sump5,3/17/26 20:43,8.11,24.48,-73.64
pH1,Sump5,3/17/26 20:44,8.11,24.48,-73.58
pH1,Sump5,3/17/26 20:45,8.11,24.48,-73.52
pH1,Sump5,3/17/26 20:46,8.11,24.48,-73.47
pH1,Sump5,3/17/26 20:47,8.11,24.48,-73.44
pH1,Sump5,3/17/26 20:48,8.11,24.48,-73.47
pH1,Sump5,3/17/26 20:49,8.11,24.48,-73.41
pH1,Sump5,3/17/26 20:50,8.11,24.48,-73.39
pH1,Sump5,3/17/26 20:51,8.11,24.48,-73.39
pH1,Sump5,3/17/26 20:52,8.11,24.48,-73.44
pH1,Sump5,3/17/26 20:53,8.11,24.48,-73.49
pH1,Sump5,3/17/26 20:54,8.11,24.48,-73.56
pH1,Sump5,3/17/26 20:55,8.11,24.48,-73.63
pH1,Sump5,3/17/26 20:56,8.11,24.48,-73.67
pH1,Sump5,3/17/26 20:57,8.11,24.48,-73.74
pH1,Sump5,3/17/26 20:58,8.11,24.48,-73.78
pH1,Sump5,3/17/26 20:59,8.11,24.48,-73.81
pH1,Sump5,3/17/26 21:00,8.11,24.48,-73.86
pH1,Sump5,3/17/26 21:01,8.12,24.48,-73.89
pH1,Sump5,3/17/26 21:02,8.12,24.48,-73.91
pH1,Sump5,3/17/26 21:03,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:04,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:05,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:06,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:07,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:08,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:09,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:10,8.12,24.48,-73.99
pH1,Sump5,3/17/26 21:11,8.12,24.48,-73.99
pH1,Sump5,3/17/26 21:12,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:13,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:14,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:15,8.12,24.48,-73.96
pH1,Sump5,3/17/26 21:16,8.12,24.48,-73.96
pH1,Sump5,3/17/26 21:17,8.12,24.48,-73.96
pH1,Sump5,3/17/26 21:18,8.12,24.48,-74
pH1,Sump5,3/17/26 21:19,8.12,24.48,-73.97
pH1,Sump5,3/17/26 21:20,8.12,24.48,-73.96
pH1,Sump5,3/17/26 21:21,8.12,24.48,-73.92
pH1,Sump5,3/17/26 21:22,8.12,24.48,-73.89
pH1,Sump5,3/17/26 21:23,8.11,24.48,-73.85
pH1,Sump5,3/17/26 21:24,8.11,24.48,-73.8
pH1,Sump5,3/17/26 21:25,8.11,24.48,-73.75
pH1,Sump5,3/17/26 21:26,8.11,24.48,-73.71
pH1,Sump5,3/17/26 21:27,8.11,24.48,-73.64
pH1,Sump5,3/17/26 21:28,8.11,24.48,-73.58
pH1,Sump5,3/17/26 21:29,8.11,24.48,-73.56
pH1,Sump5,3/17/26 21:30,8.11,24.48,-73.53
pH1,Sump5,3/17/26 21:31,8.11,24.48,-73.55
pH1,Sump5,3/17/26 21:32,8.11,24.48,-73.55
pH1,Sump5,3/17/26 21:33,8.11,24.48,-73.61
pH1,Sump5,3/17/26 21:34,8.11,24.48,-73.6
pH1,Sump5,3/17/26 21:35,8.11,24.48,-73.58
pH1,Sump5,3/17/26 21:36,8.11,24.48,-73.55
pH1,Sump5,3/17/26 21:37,8.11,24.48,-73.5
pH1,Sump5,3/17/26 21:38,8.11,24.48,-73.44
pH1,Sump5,3/17/26 21:39,8.11,24.48,-73.41
pH1,Sump5,3/17/26 21:40,8.11,24.48,-73.36
pH1,Sump5,3/17/26 21:41,8.11,24.46,-73.31
pH1,Sump5,3/17/26 21:42,8.1,24.48,-73.28
pH1,Sump5,3/17/26 21:43,8.1,24.46,-73.22
pH1,Sump5,3/17/26 21:44,8.1,24.46,-73.19
pH1,Sump5,3/17/26 21:45,8.1,24.46,-73.13
pH1,Sump5,3/17/26 21:46,8.1,24.46,-73.08
pH1,Sump5,3/17/26 21:47,8.1,24.46,-73.02
pH1,Sump5,3/17/26 21:48,8.1,24.46,-72.96
pH1,Sump5,3/17/26 21:49,8.1,24.46,-72.86
pH1,Sump5,3/17/26 21:50,8.09,24.46,-72.69
pH1,Sump5,3/17/26 21:51,8.09,24.46,-72.55
pH1,Sump5,3/17/26 21:52,8.09,24.46,-72.42
pH1,Sump5,3/17/26 21:53,8.09,24.46,-72.33
pH1,Sump5,3/17/26 21:54,8.09,24.46,-72.28
pH1,Sump5,3/17/26 21:55,8.09,24.46,-72.25
pH1,Sump5,3/17/26 21:56,8.09,24.46,-72.24
pH1,Sump5,3/17/26 21:57,8.09,24.46,-72.21
pH1,Sump5,3/17/26 21:58,8.09,24.46,-72.19
pH1,Sump5,3/17/26 21:59,8.09,24.46,-72.17
pH1,Sump5,3/17/26 22:00,8.08,24.46,-72.14
pH1,Sump5,3/17/26 22:01,8.08,24.46,-72.13
pH1,Sump5,3/17/26 22:02,8.08,24.46,-72.1
pH1,Sump5,3/17/26 22:03,8.08,24.46,-72.14
pH1,Sump5,3/17/26 22:04,8.08,24.46,-72.13
pH1,Sump5,3/17/26 22:05,8.08,24.46,-72.11
pH1,Sump5,3/17/26 22:06,8.08,24.46,-72.1
pH1,Sump5,3/17/26 22:07,8.08,24.46,-72.11
pH1,Sump5,3/17/26 22:08,8.08,24.46,-72.13
pH1,Sump5,3/17/26 22:09,8.08,24.46,-72.13
pH1,Sump5,3/17/26 22:10,8.08,24.46,-72.16
pH1,Sump5,3/17/26 22:11,8.09,24.46,-72.19
pH1,Sump5,3/17/26 22:12,8.09,24.46,-72.25
pH1,Sump5,3/17/26 22:13,8.09,24.46,-72.3
pH1,Sump5,3/17/26 22:14,8.09,24.46,-72.33
pH1,Sump5,3/17/26 22:15,8.09,24.48,-72.36
pH1,Sump5,3/17/26 22:16,8.09,24.48,-72.38
pH1,Sump5,3/17/26 22:17,8.09,24.48,-72.39
pH1,Sump5,3/17/26 22:18,8.09,24.48,-72.46
pH1,Sump5,3/17/26 22:19,8.09,24.48,-72.46
pH1,Sump5,3/17/26 22:20,8.09,24.48,-72.44
pH1,Sump5,3/17/26 22:21,8.09,24.48,-72.41
pH1,Sump5,3/17/26 22:22,8.09,24.48,-72.39
pH1,Sump5,3/17/26 22:23,8.09,24.48,-72.38
pH1,Sump5,3/17/26 22:24,8.09,24.48,-72.33
pH1,Sump5,3/17/26 22:25,8.09,24.48,-72.3
pH1,Sump5,3/17/26 22:26,8.09,24.48,-72.27
pH1,Sump5,3/17/26 22:27,8.09,24.48,-72.25
pH1,Sump5,3/17/26 22:28,8.09,24.46,-72.24
pH1,Sump5,3/17/26 22:29,8.09,24.46,-72.24
pH1,Sump5,3/17/26 22:30,8.09,24.46,-72.24
pH1,Sump5,3/17/26 22:31,8.09,24.46,-72.24
pH1,Sump5,3/17/26 22:32,8.09,24.46,-72.25
pH1,Sump5,3/17/26 22:33,8.09,24.48,-72.31
pH1,Sump5,3/17/26 22:34,8.09,24.48,-72.31
pH1,Sump5,3/17/26 22:35,8.09,24.48,-72.31
pH1,Sump5,3/17/26 22:36,8.09,24.48,-72.3
pH1,Sump5,3/17/26 22:37,8.09,24.48,-72.28
pH1,Sump5,3/17/26 22:38,8.09,24.48,-72.27
pH1,Sump5,3/17/26 22:39,8.09,24.46,-72.25
pH1,Sump5,3/17/26 22:40,8.09,24.46,-72.25
pH1,Sump5,3/17/26 22:41,8.09,24.46,-72.22
pH1,Sump5,3/17/26 22:42,8.09,24.46,-72.19
pH1,Sump5,3/17/26 22:43,8.08,24.46,-72.16
pH1,Sump5,3/17/26 22:44,8.08,24.46,-72.13
pH1,Sump5,3/17/26 22:45,8.08,24.46,-72.13
pH1,Sump5,3/17/26 22:46,8.08,24.46,-72.14
pH1,Sump5,3/17/26 22:47,8.09,24.46,-72.17
pH1,Sump5,3/17/26 22:48,8.09,24.46,-72.28
pH1,Sump5,3/17/26 22:49,8.09,24.46,-72.3
pH1,Sump5,3/17/26 22:50,8.09,24.46,-72.31
pH1,Sump5,3/17/26 22:51,8.09,24.46,-72.33
pH1,Sump5,3/17/26 22:52,8.09,24.46,-72.31
pH1,Sump5,3/17/26 22:53,8.09,24.46,-72.3
pH1,Sump5,3/17/26 22:54,8.09,24.46,-72.28
pH1,Sump5,3/17/26 22:55,8.09,24.46,-72.27
pH1,Sump5,3/17/26 22:56,8.09,24.46,-72.24
pH1,Sump5,3/17/26 22:57,8.09,24.46,-72.22
pH1,Sump5,3/17/26 22:58,8.09,24.46,-72.21
pH1,Sump5,3/17/26 22:59,8.09,24.46,-72.19
pH1,Sump5,3/17/26 23:00,8.09,24.46,-72.17
pH1,Sump5,3/17/26 23:01,8.09,24.46,-72.17
pH1,Sump5,3/17/26 23:02,8.08,24.46,-72.16
pH1,Sump5,3/17/26 23:03,8.09,24.46,-72.22
pH1,Sump5,3/17/26 23:04,8.09,24.46,-72.19
pH1,Sump5,3/17/26 23:05,8.09,24.46,-72.17
pH1,Sump5,3/17/26 23:06,8.08,24.46,-72.14
pH1,Sump5,3/17/26 23:07,8.08,24.46,-72.11
pH1,Sump5,3/17/26 23:08,8.08,24.46,-72.08
pH1,Sump5,3/17/26 23:09,8.08,24.46,-72.06
pH1,Sump5,3/17/26 23:10,8.08,24.46,-72.08
pH1,Sump5,3/17/26 23:11,8.08,24.46,-72.06
pH1,Sump5,3/17/26 23:12,8.08,24.46,-72.02
pH1,Sump5,3/17/26 23:13,8.08,24.46,-71.96
pH1,Sump5,3/17/26 23:14,8.08,24.48,-71.91
pH1,Sump5,3/17/26 23:15,8.08,24.48,-71.86
