Instrument,Tank,Time,DateTime,  BV (Volts),Temperature,DO,  Q ()
MiniDot1,Tank24,1773707880,3/16/26 14:38,2.7,14.524,9.192,0.944
MiniDot1,Tank24,1773708000,3/16/26 14:40,2.7,14.533,9.21,0.945
MiniDot1,Tank24,1773708120,3/16/26 14:42,2.7,14.576,9.178,0.944
MiniDot1,Tank24,1773708240,3/16/26 14:44,2.7,14.593,9.193,0.945
MiniDot1,Tank24,1773708360,3/16/26 14:46,2.7,14.619,9.172,0.944
MiniDot1,Tank24,1773708480,3/16/26 14:48,2.7,14.636,9.18,0.945
MiniDot1,Tank24,1773708600,3/16/26 14:50,2.7,14.679,9.161,0.944
MiniDot1,Tank24,1773708720,3/16/26 14:52,2.7,14.705,9.164,0.945
MiniDot1,Tank24,1773708840,3/16/26 14:54,2.7,14.74,9.156,0.945
MiniDot1,Tank24,1773708960,3/16/26 14:56,2.7,14.774,9.126,0.944
MiniDot1,Tank24,1773709080,3/16/26 14:58,2.7,14.791,9.147,0.945
MiniDot1,Tank24,1773709200,3/16/26 15:00,2.7,14.826,9.132,0.944
MiniDot1,Tank24,1773709320,3/16/26 15:02,2.7,14.852,9.152,0.946
MiniDot1,Tank24,1773709440,3/16/26 15:04,2.7,14.86,9.145,0.946
MiniDot1,Tank24,1773709560,3/16/26 15:06,2.7,14.903,9.122,0.944
MiniDot1,Tank24,1773709680,3/16/26 15:08,2.7,14.929,9.135,0.945
MiniDot1,Tank24,1773709800,3/16/26 15:10,2.7,14.964,9.113,0.944
MiniDot1,Tank24,1773709920,3/16/26 15:12,2.7,14.981,9.108,0.944
MiniDot1,Tank24,1773710040,3/16/26 15:14,2.7,14.998,9.104,0.945
MiniDot1,Tank24,1773710160,3/16/26 15:16,2.7,15.032,9.106,0.945
MiniDot1,Tank24,1773710280,3/16/26 15:18,2.7,15.058,9.098,0.945
MiniDot1,Tank24,1773710400,3/16/26 15:20,2.7,15.075,9.09,0.944
MiniDot1,Tank24,1773710520,3/16/26 15:22,2.7,15.11,9.109,0.946
MiniDot1,Tank24,1773710640,3/16/26 15:24,2.7,15.127,9.096,0.946
MiniDot1,Tank24,1773710760,3/16/26 15:26,2.7,15.161,9.085,0.945
MiniDot1,Tank24,1773710880,3/16/26 15:28,2.7,15.196,9.066,0.944
MiniDot1,Tank24,1773711000,3/16/26 15:30,2.7,15.213,9.051,0.944
MiniDot1,Tank24,1773711120,3/16/26 15:32,2.7,15.23,9.076,0.946
MiniDot1,Tank24,1773711240,3/16/26 15:34,2.7,15.281,9.045,0.945
MiniDot1,Tank24,1773711360,3/16/26 15:36,2.7,15.29,9.05,0.945
MiniDot1,Tank24,1773711480,3/16/26 15:38,2.7,15.324,9.047,0.945
MiniDot1,Tank24,1773711600,3/16/26 15:40,2.7,15.35,9.051,0.945
MiniDot1,Tank24,1773711720,3/16/26 15:42,2.7,15.367,9.044,0.945
MiniDot1,Tank24,1773711840,3/16/26 15:44,2.7,15.402,9.02,0.944
MiniDot1,Tank24,1773711960,3/16/26 15:46,2.7,15.436,9.019,0.945
MiniDot1,Tank24,1773712080,3/16/26 15:48,2.69,15.453,9.007,0.944
MiniDot1,Tank24,1773712200,3/16/26 15:50,2.69,15.47,9.01,0.945
MiniDot1,Tank24,1773712320,3/16/26 15:52,2.69,15.504,9.004,0.945
MiniDot1,Tank24,1773712440,3/16/26 15:54,2.69,15.513,8.998,0.944
MiniDot1,Tank24,1773712560,3/16/26 15:56,2.69,15.53,9.017,0.945
MiniDot1,Tank24,1773712680,3/16/26 15:58,2.69,15.547,9.013,0.946
MiniDot1,Tank24,1773712800,3/16/26 16:00,2.69,15.581,8.999,0.945
MiniDot1,Tank24,1773712920,3/16/26 16:02,2.69,15.607,8.99,0.945
MiniDot1,Tank24,1773713040,3/16/26 16:04,2.69,15.624,8.981,0.945
MiniDot1,Tank24,1773713160,3/16/26 16:06,2.7,15.65,8.988,0.945
MiniDot1,Tank24,1773713280,3/16/26 16:08,2.7,15.693,8.984,0.945
MiniDot1,Tank24,1773713400,3/16/26 16:10,2.7,15.71,8.974,0.945
MiniDot1,Tank24,1773713520,3/16/26 16:12,2.7,15.735,8.98,0.946
MiniDot1,Tank24,1773713640,3/16/26 16:14,2.7,15.752,8.976,0.945
MiniDot1,Tank24,1773713760,3/16/26 16:16,2.7,15.778,8.953,0.944
MiniDot1,Tank24,1773713880,3/16/26 16:18,2.7,15.804,8.954,0.945
MiniDot1,Tank24,1773714000,3/16/26 16:20,2.7,15.829,8.935,0.944
MiniDot1,Tank24,1773714120,3/16/26 16:22,2.7,15.855,8.95,0.945
MiniDot1,Tank24,1773714240,3/16/26 16:24,2.7,15.872,8.946,0.945
MiniDot1,Tank24,1773714360,3/16/26 16:26,2.7,15.898,8.931,0.945
MiniDot1,Tank24,1773714480,3/16/26 16:28,2.7,15.915,8.938,0.945
MiniDot1,Tank24,1773714600,3/16/26 16:30,2.7,15.932,8.927,0.945
MiniDot1,Tank24,1773714720,3/16/26 16:32,2.7,15.957,8.933,0.946
MiniDot1,Tank24,1773714840,3/16/26 16:34,2.7,15.966,8.919,0.945
MiniDot1,Tank24,1773714960,3/16/26 16:36,2.7,15.991,8.917,0.945
MiniDot1,Tank24,1773715080,3/16/26 16:38,2.7,16.009,8.913,0.945
MiniDot1,Tank24,1773715200,3/16/26 16:40,2.7,16.034,8.916,0.945
MiniDot1,Tank24,1773715320,3/16/26 16:42,2.7,16.068,8.904,0.945
MiniDot1,Tank24,1773715440,3/16/26 16:44,2.7,16.102,8.89,0.945
MiniDot1,Tank24,1773715560,3/16/26 16:46,2.7,16.111,8.907,0.946
MiniDot1,Tank24,1773715680,3/16/26 16:48,2.7,16.128,8.899,0.945
MiniDot1,Tank24,1773715800,3/16/26 16:50,2.7,16.145,8.884,0.945
MiniDot1,Tank24,1773715920,3/16/26 16:52,2.7,16.17,8.884,0.945
MiniDot1,Tank24,1773716040,3/16/26 16:54,2.7,16.196,8.882,0.945
MiniDot1,Tank24,1773716160,3/16/26 16:56,2.7,16.222,8.872,0.945
MiniDot1,Tank24,1773716280,3/16/26 16:58,2.7,16.239,8.861,0.944
MiniDot1,Tank24,1773716400,3/16/26 17:00,2.7,16.256,8.871,0.945
MiniDot1,Tank24,1773716520,3/16/26 17:02,2.7,16.264,8.873,0.945
MiniDot1,Tank24,1773716640,3/16/26 17:04,2.7,16.281,8.868,0.945
MiniDot1,Tank24,1773716760,3/16/26 17:06,2.7,16.307,8.875,0.946
MiniDot1,Tank24,1773716880,3/16/26 17:08,2.7,16.332,8.854,0.945
MiniDot1,Tank24,1773717000,3/16/26 17:10,2.7,16.349,8.852,0.945
MiniDot1,Tank24,1773717120,3/16/26 17:12,2.7,16.349,8.863,0.946
MiniDot1,Tank24,1773717240,3/16/26 17:14,2.69,16.392,8.849,0.945
MiniDot1,Tank24,1773717360,3/16/26 17:16,2.69,16.4,8.842,0.945
MiniDot1,Tank24,1773717480,3/16/26 17:18,2.69,16.409,8.844,0.945
MiniDot1,Tank24,1773717600,3/16/26 17:20,2.69,16.417,8.861,0.946
MiniDot1,Tank24,1773717720,3/16/26 17:22,2.69,16.46,8.82,0.945
MiniDot1,Tank24,1773717840,3/16/26 17:24,2.69,16.494,8.828,0.945
MiniDot1,Tank24,1773717960,3/16/26 17:26,2.69,16.494,8.843,0.946
MiniDot1,Tank24,1773718080,3/16/26 17:28,2.69,16.494,8.829,0.945
MiniDot1,Tank24,1773718200,3/16/26 17:30,2.69,16.519,8.837,0.945
MiniDot1,Tank24,1773718320,3/16/26 17:32,2.69,16.545,8.815,0.945
MiniDot1,Tank24,1773718440,3/16/26 17:34,2.69,16.562,8.814,0.945
MiniDot1,Tank24,1773718560,3/16/26 17:36,2.69,16.596,8.815,0.945
MiniDot1,Tank24,1773718680,3/16/26 17:38,2.69,16.604,8.803,0.944
MiniDot1,Tank24,1773718800,3/16/26 17:40,2.69,16.613,8.805,0.945
MiniDot1,Tank24,1773718920,3/16/26 17:42,2.69,16.647,8.811,0.946
MiniDot1,Tank24,1773719040,3/16/26 17:44,2.69,16.664,8.801,0.945
MiniDot1,Tank24,1773719160,3/16/26 17:46,2.69,16.672,8.786,0.945
MiniDot1,Tank24,1773719280,3/16/26 17:48,2.69,16.689,8.805,0.946
MiniDot1,Tank24,1773719400,3/16/26 17:50,2.69,16.715,8.788,0.945
MiniDot1,Tank24,1773719520,3/16/26 17:52,2.69,16.723,8.792,0.946
MiniDot1,Tank24,1773719640,3/16/26 17:54,2.69,16.74,8.783,0.945
MiniDot1,Tank24,1773719760,3/16/26 17:56,2.69,16.766,8.779,0.945
MiniDot1,Tank24,1773719880,3/16/26 17:58,2.7,16.783,8.789,0.946
MiniDot1,Tank24,1773720000,3/16/26 18:00,2.7,16.817,8.757,0.944
MiniDot1,Tank24,1773720120,3/16/26 18:02,2.7,16.825,8.773,0.945
MiniDot1,Tank24,1773720240,3/16/26 18:04,2.7,16.825,8.774,0.945
MiniDot1,Tank24,1773720360,3/16/26 18:06,2.7,16.833,8.771,0.945
MiniDot1,Tank24,1773720480,3/16/26 18:08,2.7,16.859,8.758,0.945
MiniDot1,Tank24,1773720600,3/16/26 18:10,2.7,16.867,8.761,0.945
MiniDot1,Tank24,1773720720,3/16/26 18:12,2.7,16.901,8.76,0.945
MiniDot1,Tank24,1773720840,3/16/26 18:14,2.7,16.91,8.761,0.945
MiniDot1,Tank24,1773720960,3/16/26 18:16,2.7,16.935,8.749,0.945
MiniDot1,Tank24,1773721080,3/16/26 18:18,2.7,16.944,8.752,0.945
MiniDot1,Tank24,1773721200,3/16/26 18:20,2.7,16.952,8.75,0.945
MiniDot1,Tank24,1773721320,3/16/26 18:22,2.7,16.969,8.759,0.946
MiniDot1,Tank24,1773721440,3/16/26 18:24,2.7,16.986,8.748,0.945
MiniDot1,Tank24,1773721560,3/16/26 18:26,2.7,16.995,8.741,0.945
MiniDot1,Tank24,1773721680,3/16/26 18:28,2.7,17.011,8.747,0.946
MiniDot1,Tank24,1773721800,3/16/26 18:30,2.7,17.028,8.739,0.945
MiniDot1,Tank24,1773721920,3/16/26 18:32,2.7,17.054,8.732,0.945
MiniDot1,Tank24,1773722040,3/16/26 18:34,2.7,17.062,8.73,0.945
MiniDot1,Tank24,1773722160,3/16/26 18:36,2.7,17.071,8.73,0.945
MiniDot1,Tank24,1773722280,3/16/26 18:38,2.7,17.096,8.73,0.945
MiniDot1,Tank24,1773722400,3/16/26 18:40,2.7,17.113,8.738,0.946
MiniDot1,Tank24,1773722520,3/16/26 18:42,2.7,17.122,8.718,0.945
MiniDot1,Tank24,1773722640,3/16/26 18:44,2.7,17.139,8.713,0.945
MiniDot1,Tank24,1773722760,3/16/26 18:46,2.7,17.164,8.713,0.945
MiniDot1,Tank24,1773722880,3/16/26 18:48,2.7,17.181,8.717,0.946
MiniDot1,Tank24,1773723000,3/16/26 18:50,2.7,17.189,8.708,0.945
MiniDot1,Tank24,1773723120,3/16/26 18:52,2.7,17.206,8.703,0.945
MiniDot1,Tank24,1773723240,3/16/26 18:54,2.7,17.215,8.703,0.945
MiniDot1,Tank24,1773723360,3/16/26 18:56,2.7,17.223,8.705,0.946
MiniDot1,Tank24,1773723480,3/16/26 18:58,2.7,17.24,8.707,0.946
MiniDot1,Tank24,1773723600,3/16/26 19:00,2.69,17.257,8.704,0.946
MiniDot1,Tank24,1773723720,3/16/26 19:02,2.69,17.274,8.698,0.946
MiniDot1,Tank24,1773723840,3/16/26 19:04,2.69,17.291,8.681,0.945
MiniDot1,Tank24,1773723960,3/16/26 19:06,2.69,17.291,8.7,0.946
MiniDot1,Tank24,1773724080,3/16/26 19:08,2.69,17.325,8.689,0.946
MiniDot1,Tank24,1773724200,3/16/26 19:10,2.69,17.342,8.685,0.946
MiniDot1,Tank24,1773724320,3/16/26 19:12,2.69,17.35,8.7,0.946
MiniDot1,Tank24,1773724440,3/16/26 19:14,2.69,17.358,8.686,0.946
MiniDot1,Tank24,1773724560,3/16/26 19:16,2.69,17.367,8.683,0.945
MiniDot1,Tank24,1773724680,3/16/26 19:18,2.69,17.375,8.69,0.946
MiniDot1,Tank24,1773724800,3/16/26 19:20,2.69,17.392,8.675,0.945
MiniDot1,Tank24,1773724920,3/16/26 19:22,2.69,17.418,8.677,0.946
MiniDot1,Tank24,1773725040,3/16/26 19:24,2.69,17.435,8.664,0.946
MiniDot1,Tank24,1773725160,3/16/26 19:26,2.69,17.443,8.665,0.945
MiniDot1,Tank24,1773725280,3/16/26 19:28,2.69,17.443,8.669,0.945
MiniDot1,Tank24,1773725400,3/16/26 19:30,2.69,17.46,8.66,0.945
MiniDot1,Tank24,1773725520,3/16/26 19:32,2.69,17.477,8.655,0.945
MiniDot1,Tank24,1773725640,3/16/26 19:34,2.69,17.485,8.67,0.946
MiniDot1,Tank24,1773725760,3/16/26 19:36,2.69,17.511,8.667,0.946
MiniDot1,Tank24,1773725880,3/16/26 19:38,2.69,17.528,8.654,0.946
MiniDot1,Tank24,1773726000,3/16/26 19:40,2.69,17.536,8.66,0.946
MiniDot1,Tank24,1773726120,3/16/26 19:42,2.69,17.528,8.649,0.945
MiniDot1,Tank24,1773726240,3/16/26 19:44,2.69,17.553,8.662,0.946
MiniDot1,Tank24,1773726360,3/16/26 19:46,2.69,17.57,8.654,0.946
MiniDot1,Tank24,1773726480,3/16/26 19:48,2.69,17.578,8.644,0.945
MiniDot1,Tank24,1773726600,3/16/26 19:50,2.69,17.587,8.654,0.946
MiniDot1,Tank24,1773726720,3/16/26 19:52,2.69,17.604,8.643,0.945
MiniDot1,Tank24,1773726840,3/16/26 19:54,2.69,17.629,8.631,0.945
MiniDot1,Tank24,1773726960,3/16/26 19:56,2.69,17.62,8.644,0.946
MiniDot1,Tank24,1773727080,3/16/26 19:58,2.69,17.646,8.642,0.946
MiniDot1,Tank24,1773727200,3/16/26 20:00,2.69,17.637,8.636,0.945
MiniDot1,Tank24,1773727320,3/16/26 20:02,2.69,17.663,8.646,0.946
MiniDot1,Tank24,1773727440,3/16/26 20:04,2.69,17.671,8.646,0.946
MiniDot1,Tank24,1773727560,3/16/26 20:06,2.69,17.696,8.627,0.945
MiniDot1,Tank24,1773727680,3/16/26 20:08,2.69,17.696,8.629,0.945
MiniDot1,Tank24,1773727800,3/16/26 20:10,2.69,17.713,8.625,0.945
MiniDot1,Tank24,1773727920,3/16/26 20:12,2.69,17.722,8.623,0.945
MiniDot1,Tank24,1773728040,3/16/26 20:14,2.69,17.739,8.629,0.946
MiniDot1,Tank24,1773728160,3/16/26 20:16,2.69,17.722,8.639,0.946
MiniDot1,Tank24,1773728280,3/16/26 20:18,2.69,17.764,8.605,0.945
MiniDot1,Tank24,1773728400,3/16/26 20:20,2.69,17.772,8.61,0.946
MiniDot1,Tank24,1773728520,3/16/26 20:22,2.69,17.781,8.606,0.945
MiniDot1,Tank24,1773728640,3/16/26 20:24,2.69,17.806,8.612,0.946
MiniDot1,Tank24,1773728760,3/16/26 20:26,2.69,17.814,8.603,0.946
MiniDot1,Tank24,1773728880,3/16/26 20:28,2.69,17.806,8.623,0.946
MiniDot1,Tank24,1773729000,3/16/26 20:30,2.69,17.831,8.603,0.946
MiniDot1,Tank24,1773729120,3/16/26 20:32,2.69,17.865,8.592,0.945
MiniDot1,Tank24,1773729240,3/16/26 20:34,2.69,17.857,8.606,0.946
MiniDot1,Tank24,1773729360,3/16/26 20:36,2.69,17.882,8.595,0.946
MiniDot1,Tank24,1773729480,3/16/26 20:38,2.69,17.874,8.597,0.946
MiniDot1,Tank24,1773729600,3/16/26 20:40,2.69,17.89,8.591,0.946
MiniDot1,Tank24,1773729720,3/16/26 20:42,2.7,17.899,8.59,0.946
MiniDot1,Tank24,1773729840,3/16/26 20:44,2.69,17.899,8.579,0.945
MiniDot1,Tank24,1773729960,3/16/26 20:46,2.7,17.916,8.58,0.945
MiniDot1,Tank24,1773730080,3/16/26 20:48,2.7,17.916,8.59,0.946
MiniDot1,Tank24,1773730200,3/16/26 20:50,2.7,17.941,8.589,0.946
MiniDot1,Tank24,1773730320,3/16/26 20:52,2.7,17.958,8.6,0.946
MiniDot1,Tank24,1773730440,3/16/26 20:54,2.7,17.949,8.574,0.945
MiniDot1,Tank24,1773730560,3/16/26 20:56,2.7,17.992,8.578,0.946
MiniDot1,Tank24,1773730680,3/16/26 20:58,2.7,17.983,8.575,0.945
MiniDot1,Tank24,1773730800,3/16/26 21:00,2.7,18.008,8.569,0.945
MiniDot1,Tank24,1773730920,3/16/26 21:02,2.7,18.017,8.577,0.946
MiniDot1,Tank24,1773731040,3/16/26 21:04,2.7,18.025,8.574,0.946
MiniDot1,Tank24,1773731160,3/16/26 21:06,2.69,18.017,8.565,0.945
MiniDot1,Tank24,1773731280,3/16/26 21:08,2.69,18.051,8.573,0.946
MiniDot1,Tank24,1773731400,3/16/26 21:10,2.69,18.051,8.579,0.946
MiniDot1,Tank24,1773731520,3/16/26 21:12,2.69,18.051,8.571,0.946
MiniDot1,Tank24,1773731640,3/16/26 21:14,2.7,18.059,8.557,0.945
MiniDot1,Tank24,1773731760,3/16/26 21:16,2.69,18.076,8.569,0.946
MiniDot1,Tank24,1773731880,3/16/26 21:18,2.69,18.084,8.571,0.946
MiniDot1,Tank24,1773732000,3/16/26 21:20,2.69,18.101,8.551,0.945
MiniDot1,Tank24,1773732120,3/16/26 21:22,2.69,18.109,8.561,0.946
MiniDot1,Tank24,1773732240,3/16/26 21:24,2.69,18.109,8.555,0.945
MiniDot1,Tank24,1773732360,3/16/26 21:26,2.69,18.135,8.558,0.946
MiniDot1,Tank24,1773732480,3/16/26 21:28,2.69,18.135,8.551,0.946
MiniDot1,Tank24,1773732600,3/16/26 21:30,2.69,18.143,8.544,0.945
MiniDot1,Tank24,1773732720,3/16/26 21:32,2.69,18.16,8.542,0.946
MiniDot1,Tank24,1773732840,3/16/26 21:34,2.69,18.16,8.549,0.946
MiniDot1,Tank24,1773732960,3/16/26 21:36,2.69,18.177,8.555,0.946
MiniDot1,Tank24,1773733080,3/16/26 21:38,2.69,18.177,8.543,0.945
MiniDot1,Tank24,1773733200,3/16/26 21:40,2.69,18.185,8.547,0.946
MiniDot1,Tank24,1773733320,3/16/26 21:42,2.69,18.211,8.541,0.946
MiniDot1,Tank24,1773733440,3/16/26 21:44,2.69,18.202,8.546,0.946
MiniDot1,Tank24,1773733560,3/16/26 21:46,2.69,18.211,8.529,0.945
MiniDot1,Tank24,1773733680,3/16/26 21:48,2.69,18.244,8.517,0.945
MiniDot1,Tank24,1773733800,3/16/26 21:50,2.69,18.244,8.541,0.946
MiniDot1,Tank24,1773733920,3/16/26 21:52,2.69,18.244,8.533,0.946
MiniDot1,Tank24,1773734040,3/16/26 21:54,2.69,18.261,8.529,0.946
MiniDot1,Tank24,1773734160,3/16/26 21:56,2.69,18.295,8.531,0.946
MiniDot1,Tank24,1773734280,3/16/26 21:58,2.69,18.295,8.517,0.945
MiniDot1,Tank24,1773734400,3/16/26 22:00,2.69,18.295,8.523,0.945
MiniDot1,Tank24,1773734520,3/16/26 22:02,2.69,18.295,8.521,0.946
MiniDot1,Tank24,1773734640,3/16/26 22:04,2.69,18.32,8.522,0.946
MiniDot1,Tank24,1773734760,3/16/26 22:06,2.69,18.32,8.523,0.946
MiniDot1,Tank24,1773734880,3/16/26 22:08,2.69,18.32,8.528,0.946
MiniDot1,Tank24,1773735000,3/16/26 22:10,2.69,18.328,8.521,0.946
MiniDot1,Tank24,1773735120,3/16/26 22:12,2.69,18.354,8.514,0.945
MiniDot1,Tank24,1773735240,3/16/26 22:14,2.69,18.354,8.513,0.945
MiniDot1,Tank24,1773735360,3/16/26 22:16,2.69,18.345,8.516,0.946
MiniDot1,Tank24,1773735480,3/16/26 22:18,2.69,18.37,8.513,0.946
MiniDot1,Tank24,1773735600,3/16/26 22:20,2.69,18.37,8.511,0.946
MiniDot1,Tank24,1773735720,3/16/26 22:22,2.69,18.37,8.509,0.945
MiniDot1,Tank24,1773735840,3/16/26 22:24,2.69,18.379,8.517,0.946
MiniDot1,Tank24,1773735960,3/16/26 22:26,2.69,18.404,8.515,0.947
MiniDot1,Tank24,1773736080,3/16/26 22:28,2.69,18.413,8.513,0.947
MiniDot1,Tank24,1773736200,3/16/26 22:30,2.69,18.413,8.496,0.945
MiniDot1,Tank24,1773736320,3/16/26 22:32,2.69,18.429,8.501,0.946
MiniDot1,Tank24,1773736440,3/16/26 22:34,2.69,18.446,8.497,0.946
MiniDot1,Tank24,1773736560,3/16/26 22:36,2.69,18.429,8.499,0.946
MiniDot1,Tank24,1773736680,3/16/26 22:38,2.69,18.463,8.508,0.947
MiniDot1,Tank24,1773736800,3/16/26 22:40,2.69,18.455,8.509,0.946
MiniDot1,Tank24,1773736920,3/16/26 22:42,2.69,18.463,8.499,0.945
MiniDot1,Tank24,1773737040,3/16/26 22:44,2.69,18.48,8.49,0.946
MiniDot1,Tank24,1773737160,3/16/26 22:46,2.69,18.463,8.511,0.947
MiniDot1,Tank24,1773737280,3/16/26 22:48,2.69,18.488,8.49,0.946
MiniDot1,Tank24,1773737400,3/16/26 22:50,2.69,18.488,8.5,0.946
MiniDot1,Tank24,1773737520,3/16/26 22:52,2.69,18.513,8.494,0.946
MiniDot1,Tank24,1773737640,3/16/26 22:54,2.69,18.513,8.494,0.946
MiniDot1,Tank24,1773737760,3/16/26 22:56,2.69,18.53,8.475,0.946
MiniDot1,Tank24,1773737880,3/16/26 22:58,2.69,18.505,8.497,0.946
MiniDot1,Tank24,1773738000,3/16/26 23:00,2.69,18.547,8.48,0.946
MiniDot1,Tank24,1773738120,3/16/26 23:02,2.69,18.547,8.497,0.947
MiniDot1,Tank24,1773738240,3/16/26 23:04,2.69,18.564,8.477,0.945
MiniDot1,Tank24,1773738360,3/16/26 23:06,2.69,18.555,8.483,0.946
MiniDot1,Tank24,1773738480,3/16/26 23:08,2.69,18.572,8.479,0.946
MiniDot1,Tank24,1773738600,3/16/26 23:10,2.69,18.572,8.481,0.946
MiniDot1,Tank24,1773738720,3/16/26 23:12,2.69,18.572,8.479,0.946
MiniDot1,Tank24,1773738840,3/16/26 23:14,2.69,18.589,8.484,0.947
MiniDot1,Tank24,1773738960,3/16/26 23:16,2.69,18.589,8.473,0.945
MiniDot1,Tank24,1773739080,3/16/26 23:18,2.69,18.606,8.479,0.946
MiniDot1,Tank24,1773739200,3/16/26 23:20,2.69,18.614,8.475,0.946
MiniDot1,Tank24,1773739320,3/16/26 23:22,2.69,18.614,8.467,0.945
MiniDot1,Tank24,1773739440,3/16/26 23:24,2.69,18.64,8.465,0.946
MiniDot1,Tank24,1773739560,3/16/26 23:26,2.69,18.648,8.464,0.946
MiniDot1,Tank24,1773739680,3/16/26 23:28,2.69,18.631,8.476,0.946
MiniDot1,Tank24,1773739800,3/16/26 23:30,2.69,18.648,8.464,0.946
MiniDot1,Tank24,1773739920,3/16/26 23:32,2.69,18.648,8.465,0.946
MiniDot1,Tank24,1773740040,3/16/26 23:34,2.69,18.673,8.461,0.946
MiniDot1,Tank24,1773740160,3/16/26 23:36,2.69,18.673,8.456,0.946
MiniDot1,Tank24,1773740280,3/16/26 23:38,2.69,18.682,8.459,0.946
MiniDot1,Tank24,1773740400,3/16/26 23:40,2.69,18.682,8.464,0.947
MiniDot1,Tank24,1773740520,3/16/26 23:42,2.69,18.698,8.45,0.946
MiniDot1,Tank24,1773740640,3/16/26 23:44,2.69,18.698,8.451,0.946
MiniDot1,Tank24,1773740760,3/16/26 23:46,2.69,18.698,8.475,0.947
MiniDot1,Tank24,1773740880,3/16/26 23:48,2.69,18.715,8.459,0.946
MiniDot1,Tank24,1773741000,3/16/26 23:50,2.69,18.715,8.454,0.946
MiniDot1,Tank24,1773741120,3/16/26 23:52,2.69,18.715,8.452,0.946
MiniDot1,Tank24,1773741240,3/16/26 23:54,2.69,18.724,8.458,0.947
MiniDot1,Tank24,1773741360,3/16/26 23:56,2.69,18.74,8.44,0.946
MiniDot1,Tank24,1773741480,3/16/26 23:58,2.69,18.749,8.43,0.945
MiniDot1,Tank24,1773741600,3/17/26 0:00,2.69,18.74,8.451,0.946
MiniDot1,Tank24,1773741720,3/17/26 0:02,2.69,18.766,8.453,0.947
MiniDot1,Tank24,1773741840,3/17/26 0:04,2.69,18.774,8.433,0.946
MiniDot1,Tank24,1773741960,3/17/26 0:06,2.69,18.757,8.443,0.946
MiniDot1,Tank24,1773742080,3/17/26 0:08,2.69,18.782,8.435,0.946
MiniDot1,Tank24,1773742200,3/17/26 0:10,2.69,18.774,8.443,0.946
MiniDot1,Tank24,1773742320,3/17/26 0:12,2.69,18.791,8.442,0.946
MiniDot1,Tank24,1773742440,3/17/26 0:14,2.69,18.791,8.437,0.945
MiniDot1,Tank24,1773742560,3/17/26 0:16,2.69,18.808,8.444,0.947
MiniDot1,Tank24,1773742680,3/17/26 0:18,2.69,18.808,8.432,0.946
MiniDot1,Tank24,1773742800,3/17/26 0:20,2.69,18.808,8.441,0.946
MiniDot1,Tank24,1773742920,3/17/26 0:22,2.69,18.833,8.448,0.947
MiniDot1,Tank24,1773743040,3/17/26 0:24,2.69,18.824,8.42,0.945
MiniDot1,Tank24,1773743160,3/17/26 0:26,2.69,18.841,8.423,0.945
MiniDot1,Tank24,1773743280,3/17/26 0:28,2.69,18.841,8.426,0.946
MiniDot1,Tank24,1773743400,3/17/26 0:30,2.69,18.85,8.43,0.946
