Instrument,Tank,DateTime,Temperature,DO1,DO,"Temperature (W-CTD-02 22443169), °C","Absolute Pressure (W-CTD-02 22443169), kPa","Electrical Conductivity (W-CTD-02 22443169), µS/cm","Specific Conductivity (W-CTD-02 22443169), µS/cm",Salinity,"Total Dissolved Solids (W-CTD-02 22443169), mg/L"
DO1,Sump5,3/17/26 17:12,24.51,8.16,6.75,24.44,102.877,50147.3,50741.7,33.25,32595.72
DO1,Sump5,3/17/26 17:14,24.51,8.12,6.71,24.44,102.825,50157.2,50755,33.26,32602.18
DO1,Sump5,3/17/26 17:16,24.51,8.09,6.69,24.44,102.86,50188.1,50786.2,33.29,32622.25
DO1,Sump5,3/17/26 17:18,24.51,8.06,6.66,24.44,102.826,50161.1,50755.7,33.27,32604.73
DO1,Sump5,3/17/26 17:20,24.51,8.04,6.65,24.44,102.791,50169,50766.9,33.27,32609.85
DO1,Sump5,3/17/26 17:22,24.51,8.02,6.64,24.43,102.825,50150.2,50754.4,33.26,32597.6
DO1,Sump5,3/17/26 17:24,24.5,8.01,6.62,24.43,102.825,50177.9,50785.7,33.29,32615.64
DO1,Sump5,3/17/26 17:26,24.5,8.02,6.63,24.43,102.808,50124.3,50734.7,33.25,32580.79
DO1,Sump5,3/17/26 17:28,24.49,8.02,6.63,24.42,102.791,50148.1,50765.3,33.27,32596.26
DO1,Sump5,3/17/26 17:30,24.49,8.03,6.64,24.42,102.808,50157,50774.3,33.28,32602.04
DO1,Sump5,3/17/26 17:32,24.49,8.08,6.68,24.42,102.791,50162,50776.1,33.28,32605.27
DO1,Sump5,3/17/26 17:34,24.49,8.06,6.67,24.42,102.773,50159.1,50773.1,33.28,32603.38
DO1,Sump5,3/17/26 17:36,24.49,8.05,6.66,24.42,102.808,50137.1,50754.2,33.26,32589.13
DO1,Sump5,3/17/26 17:38,24.48,8.05,6.66,24.43,102.774,50153.1,50763.8,33.27,32599.48
DO1,Sump5,3/17/26 17:40,24.49,8.04,6.65,24.43,102.774,50174.8,50782.6,33.28,32613.61
DO1,Sump5,3/17/26 17:42,24.5,8.04,6.65,24.44,102.808,50180,50781.3,33.28,32616.98
DO1,Sump5,3/17/26 17:44,24.5,8.07,6.67,24.44,102.791,50184.7,50786.1,33.29,32620.08
DO1,Sump5,3/17/26 17:46,24.5,8.07,6.68,24.44,102.791,50194.7,50796.2,33.29,32626.54
DO1,Sump5,3/17/26 17:48,24.49,8.1,6.7,24.44,102.791,50208.6,50807,33.3,32635.57
DO1,Sump5,3/17/26 17:50,24.5,8.11,6.71,24.44,102.808,50192.6,50794.1,33.29,32625.2
DO1,Sump5,3/17/26 17:52,24.49,8.11,6.71,24.43,102.808,50173.8,50778.3,33.28,32612.94
DO1,Sump5,3/17/26 17:54,24.49,8.08,6.68,24.43,102.808,50198.6,50806.7,33.3,32629.1
DO1,Sump5,3/17/26 17:56,24.49,8.07,6.68,24.43,102.808,50097.3,50704.1,33.23,32563.21
DO1,Sump5,3/17/26 17:58,24.49,8.11,6.71,24.43,102.808,50077.4,50687.3,33.21,32550.34
DO1,Sump5,3/17/26 18:00,24.49,8.14,6.74,24.42,102.808,50020.1,50632.5,33.17,32513.09
DO1,Sump5,3/17/26 18:02,24.49,8.17,6.76,24.42,102.808,50059.7,50675.8,33.21,32538.8
DO1,Sump5,3/17/26 18:04,24.48,8.18,6.77,24.42,102.773,50030,50645.8,33.18,32519.51
DO1,Sump5,3/17/26 18:06,24.48,8.17,6.76,24.42,102.79,50015.2,50634,33.17,32509.88
DO1,Sump5,3/17/26 18:08,24.48,8.16,6.75,24.42,102.808,50033.9,50653,33.19,32522.06
DO1,Sump5,3/17/26 18:10,24.48,8.15,6.75,24.42,102.825,50001.3,50616.7,33.16,32500.82
DO1,Sump5,3/17/26 18:12,24.48,8.15,6.74,24.42,102.808,50007.2,50625.9,33.17,32504.69
DO1,Sump5,3/17/26 18:14,24.48,8.14,6.73,24.42,102.79,50001.3,50619.9,33.16,32500.82
DO1,Sump5,3/17/26 18:16,24.48,8.13,6.73,24.42,102.825,50041.8,50664.2,33.2,32527.16
DO1,Sump5,3/17/26 18:18,24.48,8.14,6.73,24.42,102.825,49997.3,50619.2,33.16,32498.27
DO1,Sump5,3/17/26 18:20,24.48,8.13,6.73,24.41,102.859,50007.2,50632.4,33.17,32504.69
DO1,Sump5,3/17/26 18:22,24.47,8.13,6.73,24.41,102.842,50014,50642.6,33.18,32509.12
DO1,Sump5,3/17/26 18:24,24.47,8.15,6.74,24.41,102.807,49953,50580.8,33.13,32469.43
DO1,Sump5,3/17/26 18:26,24.47,8.14,6.73,24.41,102.825,49970.7,50598.7,33.15,32480.93
DO1,Sump5,3/17/26 18:28,24.47,8.13,6.73,24.41,102.756,49967.6,50595.6,33.15,32478.95
DO1,Sump5,3/17/26 18:30,24.47,8.12,6.72,24.41,102.825,49923.3,50550.7,33.11,32450.15
DO1,Sump5,3/17/26 18:32,24.47,8.11,6.71,24.41,102.773,49938.2,50565.8,33.12,32459.83
DO1,Sump5,3/17/26 18:34,24.47,8.09,6.69,24.41,102.807,49952,50583,33.14,32468.78
DO1,Sump5,3/17/26 18:36,24.46,8.05,6.66,24.41,102.738,50049.6,50681.9,33.21,32532.26
DO1,Sump5,3/17/26 18:38,24.47,8.05,6.66,24.41,102.79,49964.7,50595.9,33.15,32477.07
DO1,Sump5,3/17/26 18:40,24.47,8.05,6.66,24.4,102.79,49948.9,50583.2,33.14,32466.8
DO1,Sump5,3/17/26 18:42,24.46,8.04,6.65,24.4,102.79,50002.1,50637,33.18,32501.38
DO1,Sump5,3/17/26 18:44,24.46,8.02,6.64,24.4,102.824,49988.4,50623.1,33.17,32492.43
DO1,Sump5,3/17/26 18:46,24.46,8.03,6.65,24.4,102.79,49998.2,50636.3,33.18,32498.84
DO1,Sump5,3/17/26 18:48,24.46,8.03,6.65,24.4,102.842,49909.6,50546.5,33.11,32441.23
DO1,Sump5,3/17/26 18:50,24.46,8.02,6.64,24.4,102.79,49937.2,50577.7,33.13,32459.17
DO1,Sump5,3/17/26 18:52,24.45,8.02,6.64,24.4,102.842,49908.6,50548.8,33.11,32440.56
DO1,Sump5,3/17/26 18:54,24.46,8.03,6.65,24.4,102.842,49933.2,50573.7,33.13,32456.55
DO1,Sump5,3/17/26 18:56,24.45,8.03,6.65,24.4,102.79,49902.7,50542.8,33.11,32436.72
DO1,Sump5,3/17/26 18:58,24.46,8.04,6.66,24.4,102.824,49932.2,50569.4,33.13,32455.9
DO1,Sump5,3/17/26 19:00,24.45,8.06,6.67,24.4,102.859,49917.4,50554.5,33.12,32446.31
DO1,Sump5,3/17/26 19:02,24.45,8.07,6.68,24.4,102.859,49903.7,50540.5,33.1,32437.38
DO1,Sump5,3/17/26 19:04,24.46,8.09,6.7,24.41,102.876,49958.6,50589.8,33.14,32473.12
DO1,Sump5,3/17/26 19:06,24.46,8.1,6.71,24.41,102.79,49881.9,50512,33.08,32423.23
DO1,Sump5,3/17/26 19:08,24.46,8.11,6.72,24.41,102.825,49889.8,50520.1,33.09,32428.38
DO1,Sump5,3/17/26 19:10,24.46,8.12,6.72,24.41,102.842,49886.9,50517.1,33.09,32426.49
DO1,Sump5,3/17/26 19:12,24.46,8.11,6.72,24.41,102.825,49892.7,50523,33.09,32430.27
DO1,Sump5,3/17/26 19:14,24.46,8.1,6.71,24.41,102.825,49918.3,50548.9,33.11,32446.89
DO1,Sump5,3/17/26 19:16,24.47,8.08,6.69,24.41,102.876,49910.4,50540.9,33.11,32441.73
DO1,Sump5,3/17/26 19:18,24.46,8.05,6.67,24.41,102.842,49950.7,50581.7,33.14,32467.95
DO1,Sump5,3/17/26 19:20,24.47,8.02,6.63,24.41,102.807,49987.1,50618.5,33.16,32491.58
DO1,Sump5,3/17/26 19:22,24.47,7.98,6.6,24.41,102.825,50048.3,50680.5,33.21,32531.38
DO1,Sump5,3/17/26 19:24,24.46,7.94,6.57,24.41,102.842,50108.5,50741.5,33.25,32570.5
DO1,Sump5,3/17/26 19:26,24.46,7.92,6.55,24.41,102.859,50117.3,50750.5,33.26,32576.27
DO1,Sump5,3/17/26 19:28,24.46,7.89,6.52,24.41,102.876,50150,50783.5,33.28,32597.47
DO1,Sump5,3/17/26 19:30,24.46,7.86,6.5,24.41,102.859,50184.7,50818.6,33.31,32620.04
DO1,Sump5,3/17/26 19:32,24.46,7.83,6.47,24.41,102.842,50246.2,50880.9,33.36,32660
DO1,Sump5,3/17/26 19:34,24.47,7.81,6.46,24.4,102.859,50255.1,50893.2,33.36,32665.79
DO1,Sump5,3/17/26 19:36,24.47,7.81,6.45,24.4,102.842,50297.8,50936.5,33.4,32693.57
DO1,Sump5,3/17/26 19:38,24.46,7.82,6.46,24.4,102.893,50284.9,50923.4,33.39,32685.21
DO1,Sump5,3/17/26 19:40,24.46,7.82,6.46,24.4,102.876,50255.1,50893.2,33.36,32665.79
DO1,Sump5,3/17/26 19:42,24.46,7.82,6.47,24.4,102.893,50304.9,50943.6,33.4,32698.17
DO1,Sump5,3/17/26 19:44,24.46,7.83,6.48,24.4,102.859,50258,50896.1,33.37,32667.67
DO1,Sump5,3/17/26 19:46,24.46,7.85,6.49,24.41,102.859,50243,50877.7,33.35,32657.97
DO1,Sump5,3/17/26 19:48,24.46,7.86,6.5,24.41,102.825,50168.5,50802.3,33.3,32609.55
DO1,Sump5,3/17/26 19:50,24.46,7.93,6.56,24.41,102.876,50146.9,50780.4,33.28,32595.46
DO1,Sump5,3/17/26 19:52,24.46,7.96,6.58,24.4,102.79,50123.1,50759.6,33.27,32580.03
DO1,Sump5,3/17/26 19:54,24.46,7.99,6.61,24.4,102.824,50099.4,50735.6,33.25,32564.61
DO1,Sump5,3/17/26 19:56,24.46,8.02,6.63,24.4,102.824,50021.3,50656.4,33.19,32513.81
DO1,Sump5,3/17/26 19:58,24.46,8.04,6.65,24.4,102.876,49999.7,50634.5,33.17,32499.78
DO1,Sump5,3/17/26 20:00,24.46,8.06,6.67,24.41,102.893,49976.1,50607.4,33.15,32484.43
DO1,Sump5,3/17/26 20:02,24.47,8.07,6.68,24.41,102.876,50006.6,50638.3,33.18,32504.3
DO1,Sump5,3/17/26 20:04,24.47,8.1,6.71,24.41,102.876,49921,50545.1,33.11,32448.62
DO1,Sump5,3/17/26 20:06,24.47,8.14,6.74,24.41,102.894,49963.3,50588,33.14,32476.15
DO1,Sump5,3/17/26 20:08,24.47,8.19,6.78,24.42,102.894,49900.4,50521.1,33.09,32435.28
DO1,Sump5,3/17/26 20:10,24.48,8.24,6.82,24.41,102.876,49947.5,50572,33.13,32465.9
DO1,Sump5,3/17/26 20:12,24.47,8.28,6.85,24.41,102.894,49936.7,50561,33.12,32458.85
DO1,Sump5,3/17/26 20:14,24.47,8.3,6.88,24.41,102.894,49881.7,50505.3,33.08,32423.1
DO1,Sump5,3/17/26 20:16,24.47,8.34,6.9,24.41,102.911,49922,50546.1,33.11,32449.28
DO1,Sump5,3/17/26 20:18,24.47,8.34,6.91,24.41,102.859,49882.7,50506.4,33.08,32423.76
DO1,Sump5,3/17/26 20:20,24.47,8.34,6.91,24.42,102.876,49885.6,50506.1,33.08,32425.64
DO1,Sump5,3/17/26 20:22,24.48,8.33,6.89,24.42,102.894,49936.6,50557.7,33.12,32458.78
DO1,Sump5,3/17/26 20:24,24.48,8.35,6.91,24.42,102.928,49954.3,50575.7,33.13,32470.32
DO1,Sump5,3/17/26 20:26,24.47,8.34,6.9,24.42,102.911,49893.4,50510.7,33.08,32430.71
DO1,Sump5,3/17/26 20:28,24.47,8.32,6.88,24.42,102.877,49943.5,50561.4,33.12,32463.28
DO1,Sump5,3/17/26 20:30,24.48,8.29,6.86,24.42,102.894,49922.9,50540.5,33.11,32449.85
DO1,Sump5,3/17/26 20:32,24.48,8.27,6.85,24.42,102.945,49962.2,50577.1,33.13,32475.4
DO1,Sump5,3/17/26 20:34,24.48,8.25,6.83,24.42,102.894,49913,50527.3,33.1,32443.47
DO1,Sump5,3/17/26 20:36,24.48,8.24,6.82,24.42,102.911,49936.6,50551.2,33.11,32458.78
DO1,Sump5,3/17/26 20:38,24.48,8.24,6.82,24.42,102.945,49919.8,50534.2,33.1,32447.89
DO1,Sump5,3/17/26 20:40,24.49,8.24,6.82,24.42,102.963,49902.2,50516.4,33.09,32436.44
DO1,Sump5,3/17/26 20:42,24.48,8.25,6.83,24.42,102.928,49939.5,50554.1,33.12,32460.66
DO1,Sump5,3/17/26 20:44,24.48,8.25,6.83,24.42,102.928,49988.7,50603.9,33.15,32492.62
DO1,Sump5,3/17/26 20:46,24.48,8.24,6.82,24.42,102.997,50011.2,50626.8,33.17,32507.31
DO1,Sump5,3/17/26 20:48,24.48,8.2,6.78,24.42,102.945,49994.6,50609.9,33.16,32496.48
DO1,Sump5,3/17/26 20:50,24.48,8.18,6.77,24.42,102.997,50031,50646.7,33.18,32520.12
DO1,Sump5,3/17/26 20:52,24.49,8.16,6.75,24.42,102.98,50040.8,50653.4,33.19,32526.53
DO1,Sump5,3/17/26 20:54,24.48,8.17,6.76,24.42,103.032,49979.8,50591.7,33.14,32486.88
DO1,Sump5,3/17/26 20:56,24.48,8.23,6.81,24.42,102.98,50036.9,50649.5,33.19,32523.98
DO1,Sump5,3/17/26 20:58,24.49,8.26,6.83,24.42,102.98,50092.2,50708.7,33.23,32559.95
DO1,Sump5,3/17/26 21:00,24.48,8.3,6.86,24.42,103.014,50028.1,50643.8,33.18,32518.24
DO1,Sump5,3/17/26 21:02,24.49,8.31,6.88,24.42,103.031,50055.6,50674.9,33.2,32536.15
DO1,Sump5,3/17/26 21:04,24.49,8.33,6.89,24.42,102.963,50017.2,50636,33.18,32511.17
DO1,Sump5,3/17/26 21:06,24.48,8.34,6.9,24.42,102.98,50009.5,50625,33.17,32506.18
DO1,Sump5,3/17/26 21:08,24.47,8.35,6.91,24.42,102.997,49988.8,50604,33.15,32492.72
DO1,Sump5,3/17/26 21:10,24.48,8.35,6.92,24.42,102.98,49946.5,50561.3,33.12,32465.25
DO1,Sump5,3/17/26 21:12,24.48,8.34,6.9,24.42,103.049,50025.3,50641,33.18,32516.46
DO1,Sump5,3/17/26 21:14,24.48,8.35,6.91,24.42,103.014,49966.2,50581.2,33.14,32478.04
DO1,Sump5,3/17/26 21:16,24.48,8.35,6.91,24.42,103.049,49986,50601.2,33.15,32490.92
DO1,Sump5,3/17/26 21:18,24.48,8.36,6.92,24.42,103.083,49970.1,50585.1,33.14,32480.58
DO1,Sump5,3/17/26 21:20,24.48,8.36,6.92,24.42,103.049,49885.6,50502.8,33.08,32425.64
DO1,Sump5,3/17/26 21:22,24.48,8.34,6.9,24.42,103.049,49935.8,50553.6,33.12,32458.28
DO1,Sump5,3/17/26 21:24,24.47,8.32,6.89,24.42,103.049,49945.9,50563.9,33.12,32464.84
DO1,Sump5,3/17/26 21:26,24.48,8.3,6.87,24.42,103.014,49931.8,50549.6,33.11,32455.66
DO1,Sump5,3/17/26 21:28,24.48,8.29,6.86,24.42,103.049,49903.2,50520.6,33.09,32437.09
DO1,Sump5,3/17/26 21:30,24.48,8.26,6.84,24.42,102.997,49926.8,50544.5,33.11,32452.39
DO1,Sump5,3/17/26 21:32,24.48,8.24,6.82,24.42,103.066,49909,50526.5,33.1,32440.86
DO1,Sump5,3/17/26 21:34,24.48,8.24,6.82,24.42,103.031,49905.1,50525.8,33.09,32438.32
DO1,Sump5,3/17/26 21:36,24.47,8.24,6.82,24.41,103.014,49914.9,50539,33.1,32444.7
DO1,Sump5,3/17/26 21:38,24.47,8.22,6.81,24.41,103.031,49947.3,50571.8,33.13,32465.74
DO1,Sump5,3/17/26 21:40,24.47,8.21,6.79,24.41,103.049,49940.4,50564.8,33.12,32461.24
DO1,Sump5,3/17/26 21:42,24.47,8.18,6.77,24.41,102.997,49919.7,50547.1,33.11,32447.82
DO1,Sump5,3/17/26 21:44,24.47,8.16,6.76,24.41,102.98,49909.9,50537.2,33.1,32441.44
DO1,Sump5,3/17/26 21:46,24.47,8.13,6.73,24.41,103.014,49930.4,50561.2,33.12,32454.78
DO1,Sump5,3/17/26 21:48,24.47,8.1,6.71,24.41,102.997,49939.2,50566.9,33.12,32460.5
DO1,Sump5,3/17/26 21:50,24.47,8.05,6.66,24.41,103.014,50024.7,50653.4,33.19,32516.05
DO1,Sump5,3/17/26 21:52,24.47,7.96,6.59,24.41,103.014,50073,50702.3,33.22,32547.43
DO1,Sump5,3/17/26 21:54,24.47,7.9,6.53,24.41,102.997,50135.1,50768.5,33.27,32587.83
DO1,Sump5,3/17/26 21:56,24.47,7.86,6.5,24.41,103.031,50122.3,50755.5,33.26,32579.53
DO1,Sump5,3/17/26 21:58,24.46,7.84,6.48,24.4,102.997,50118.4,50754.8,33.26,32576.98
DO1,Sump5,3/17/26 22:00,24.47,7.82,6.47,24.41,102.979,50180.7,50814.6,33.31,32617.46
DO1,Sump5,3/17/26 22:02,24.46,7.82,6.46,24.41,103.014,50240,50874.6,33.35,32655.99
DO1,Sump5,3/17/26 22:04,24.46,7.81,6.46,24.41,103.014,50182.5,50816.5,33.31,32618.65
DO1,Sump5,3/17/26 22:06,24.47,7.8,6.45,24.41,102.962,50206.3,50840.5,33.33,32634.09
DO1,Sump5,3/17/26 22:08,24.46,7.8,6.45,24.41,102.997,50306.4,50938.7,33.4,32699.18
DO1,Sump5,3/17/26 22:10,24.47,7.8,6.45,24.41,102.962,50248.9,50880.4,33.36,32661.77
DO1,Sump5,3/17/26 22:12,24.47,7.81,6.46,24.41,102.962,50218.1,50845.9,33.33,32641.73
DO1,Sump5,3/17/26 22:14,24.47,7.87,6.51,24.42,103.014,50209.2,50833.7,33.32,32635.96
DO1,Sump5,3/17/26 22:16,24.47,7.89,6.53,24.42,103.049,50214.1,50835.4,33.32,32639.19
DO1,Sump5,3/17/26 22:18,24.48,7.89,6.53,24.42,102.963,50199.3,50820.4,33.31,32629.52
DO1,Sump5,3/17/26 22:20,24.47,7.89,6.53,24.42,102.997,50219.9,50841.3,33.33,32642.94
DO1,Sump5,3/17/26 22:22,24.48,7.88,6.52,24.42,102.98,50231.9,50850.1,33.33,32650.73
DO1,Sump5,3/17/26 22:24,24.48,7.86,6.5,24.42,102.963,50244.7,50866.4,33.35,32659.06
DO1,Sump5,3/17/26 22:26,24.47,7.84,6.48,24.42,102.997,50328.2,50954.1,33.41,32713.31
DO1,Sump5,3/17/26 22:28,24.47,7.82,6.46,24.42,102.98,50373,50999.5,33.44,32742.46
DO1,Sump5,3/17/26 22:30,24.47,7.81,6.46,24.42,102.997,50311.1,50936.9,33.4,32702.23
DO1,Sump5,3/17/26 22:32,24.47,7.82,6.46,24.42,102.963,50282.4,50907.7,33.38,32683.53
DO1,Sump5,3/17/26 22:34,24.47,7.83,6.47,24.42,103.014,50342.1,50964.9,33.42,32722.34
DO1,Sump5,3/17/26 22:36,24.47,7.83,6.47,24.42,102.98,50383.8,51010.4,33.45,32749.44
DO1,Sump5,3/17/26 22:38,24.47,7.82,6.46,24.41,103.014,50389.8,51019.8,33.46,32753.37
DO1,Sump5,3/17/26 22:40,24.47,7.81,6.45,24.41,102.98,50413.7,51047.3,33.48,32768.91
DO1,Sump5,3/17/26 22:42,24.47,7.8,6.45,24.41,103.014,50390.9,51024.2,33.46,32754.06
DO1,Sump5,3/17/26 22:44,24.47,7.78,6.43,24.41,102.997,50358.1,50990.9,33.44,32732.74
DO1,Sump5,3/17/26 22:46,24.47,7.78,6.43,24.41,102.98,50394.8,51028.1,33.46,32756.62
DO1,Sump5,3/17/26 22:48,24.47,7.8,6.44,24.41,102.98,50445.5,51079.5,33.5,32789.57
DO1,Sump5,3/17/26 22:50,24.47,7.83,6.46,24.41,102.997,50415.5,51049.1,33.48,32770.09
DO1,Sump5,3/17/26 22:52,24.47,7.84,6.47,24.41,103.014,50397.7,51034.3,33.47,32758.48
DO1,Sump5,3/17/26 22:54,24.47,7.81,6.46,24.41,103.014,50424.8,51061.8,33.49,32776.1
DO1,Sump5,3/17/26 22:56,24.47,7.81,6.45,24.41,102.98,50410.5,51044.1,33.48,32766.84
DO1,Sump5,3/17/26 22:58,24.47,7.8,6.44,24.41,102.962,50381.6,51011.5,33.45,32748.06
DO1,Sump5,3/17/26 23:00,24.47,7.79,6.43,24.41,102.962,50460.5,51091.4,33.51,32799.33
DO1,Sump5,3/17/26 23:02,24.47,7.79,6.44,24.42,102.928,50435.5,51062.8,33.49,32783.08
DO1,Sump5,3/17/26 23:04,24.47,7.78,6.43,24.41,102.98,50460.5,51091.4,33.51,32799.33
DO1,Sump5,3/17/26 23:06,24.47,7.78,6.42,24.41,103.014,50454.4,51085.2,33.51,32795.38
DO1,Sump5,3/17/26 23:08,24.47,7.77,6.42,24.41,102.962,50445.5,51076.2,33.5,32789.57
DO1,Sump5,3/17/26 23:10,24.47,7.77,6.42,24.42,103.014,50410.5,51037.5,33.47,32766.84
DO1,Sump5,3/17/26 23:12,24.47,7.77,6.42,24.42,102.997,50384.5,51011.2,33.45,32749.93
DO1,Sump5,3/17/26 23:14,24.48,7.74,6.39,24.42,103.014,50349.6,50972.6,33.42,32727.26
DO1,Sump5,3/17/26 23:16,24.47,7.71,6.37,24.42,102.945,50388.4,51015.2,33.45,32752.49
DO1,Sump5,3/17/26 23:18,24.48,7.7,6.36,24.41,102.98,50438.4,51069,33.49,32784.94
DO1,Sump5,3/17/26 23:20,24.47,7.69,6.36,24.42,102.945,50407.3,51034.3,33.47,32764.78
DO1,Sump5,3/17/26 23:22,24.47,7.7,6.36,24.42,102.963,50414.1,51041.2,33.47,32769.2
DO1,Sump5,3/17/26 23:24,24.48,7.7,6.36,24.42,102.997,50479.1,51107,33.52,32811.43
DO1,Sump5,3/17/26 23:26,24.48,7.71,6.37,24.42,102.945,50415.2,51042.3,33.47,32769.88
DO1,Sump5,3/17/26 23:28,24.48,7.7,6.36,24.42,102.963,50475.2,51103,33.52,32808.87
DO1,Sump5,3/17/26 23:30,24.48,7.72,6.38,24.42,102.997,50388.1,51014.9,33.45,32752.29
DO1,Sump5,3/17/26 23:32,24.48,7.75,6.4,24.42,102.98,50399.2,51026,33.46,32759.47
DO1,Sump5,3/17/26 23:34,24.47,7.76,6.41,24.41,102.911,50361.4,50991.1,33.44,32734.92
DO1,Sump5,3/17/26 23:36,24.47,7.77,6.42,24.41,102.945,50351.4,50981,33.43,32728.44
DO1,Sump5,3/17/26 23:38,24.47,7.79,6.44,24.41,102.945,50345.4,50974.9,33.42,32724.53
DO1,Sump5,3/17/26 23:40,24.47,7.8,6.45,24.41,102.928,50345.4,50974.9,33.42,32724.53
DO1,Sump5,3/17/26 23:42,24.47,7.82,6.46,24.41,102.945,50276.9,50905.5,33.37,32679.96
DO1,Sump5,3/17/26 23:44,24.47,7.82,6.47,24.41,102.876,50241.3,50869.5,33.35,32656.87
DO1,Sump5,3/17/26 23:46,24.47,7.83,6.47,24.41,102.945,50212.2,50840,33.33,32637.92
DO1,Sump5,3/17/26 23:48,24.47,7.82,6.46,24.41,102.911,50293.9,50922.7,33.39,32691.01
DO1,Sump5,3/17/26 23:50,24.47,7.8,6.45,24.41,102.928,50371.1,51004.1,33.45,32741.21
DO1,Sump5,3/17/26 23:52,24.47,7.8,6.44,24.41,102.945,50406,51039.5,33.47,32763.89
