SampleID,Temp,Weight(g),TANK,Date,
B11_5_MONO,24,8.7188,TANK3,4/28/26,
B11_6_MONO,24,7.6141,TANK3,4/28/26,
B12_1_MONO,24,9.4806,TANK3,4/28/26,
B12_2_MONO,24,5.5157,TANK3,4/28/26,
B12_3_MONO,24,5.3971,TANK3,4/28/26,
B12_4_MONO,24,6.8206,TANK3,4/28/26,
B12_5_MONO,24,10.0418,TANK3,4/28/26,
B12_6_MONO,24,5.7985,TANK3,4/28/26,
A14_1_FAKE,24,13.7585,TANK4,4/28/26,
A09_2_3SP,24,7.7463,TANK5,4/28/26,
A10_1_3SP,24,7.8866,TANK5,4/28/26,
A11_2_3SP,24,11.3038,TANK5,4/28/26,
A12_1_3SP,24,7.6953,TANK5,4/28/26,
A12_2_3SP,24,8.9859,TANK5,4/28/26,
B09_1_3SP,24,11.486,TANK5,4/28/26,
B09_2_3SP,24,10.8365,TANK5,4/28/26,
B10_2_3SP,24,5.3515,TANK5,4/28/26,
B11_1_3SP,24,7.9665,TANK5,4/28/26,
B11_2_3SP,24,6.4124,TANK5,4/28/26,
B12_2_3SP,24,9.0233,TANK5,4/28/26,
STD,24.1,74.9778,,4/28/26,
C09_1_3SP,24.1,15.9406,TANK5,4/28/26,
C09_2_3SP,24.1,18.6513,TANK5,4/28/26,
C10_1_3SP,24.1,18.7124,TANK5,4/28/26,
C10_2_3SP,24.1,25.0583,TANK5,4/28/26,
C11_1_3SP,24.1,17.875,TANK5,4/28/26,
C11_2_3SP,24.1,15.45,TANK5,4/28/26,
C12_1_3SP,24,13.5371,TANK5,4/28/26,
C12_2_3SP,24,12.5085,TANK5,4/28/26,
STD,24,74.9812,,4/28/26,
A05_1_FAKE,24,12.9214,TANK7,4/28/26,
A06_1_FAKE,24,13.1183,TANK7,4/28/26,
A07_1_FAKE,24,8.4279,TANK7,4/28/26,
A08_1_FAKE,24,6.9798,TANK7,4/28/26,
A09_1_6SP,24,13.6623,TANK24,4/28/26,
A04_1_6SP,24,10.5501,TANK2,4/28/26,
A15_1_MONO,24,12.6976,TANK18,4/28/26,
B12_1_3SP,24,10.7465,TANK5,4/28/26,
STD,24.1,74.9815,,4/28/26,
B09_1_MONO,24.1,7.6966,TANK3,4/28/26,
B05_1_FAKE,24.1,14.1,TANK8,4/28/26,
B06_1_MONO,24.1,9.0972,TANK21,4/28/26,
B19_1_3SP,24.1,5.1988,TANK19,4/28/26,
STD,24,74.9925,,4/28/26,
A09_1_MONO,24,10.2178,TANK6,4/28/26,
A09_2_MONO,24,11.0235,TANK6,4/28/26,
A09_3_MONO,24,14.264,TANK6,4/28/26,
A09_4_MONO,24,12.0415,TANK6,4/28/26,
A09_5_MONO,24,14.7108,TANK6,4/28/26,
A09_6_MONO,24,8.5483,TANK6,4/28/26,
A10_1_MONO,24,11.259,TANK6,4/28/26,
A10_2_MONO,24,14.8864,TANK6,4/28/26,
A10_3_MONO,24,8.7668,TANK6,4/28/26,
A10_4_MONO,24,9.7638,TANK6,4/28/26,
A10_5_MONO,24,14.6288,TANK6,4/28/26,
A10_6_MONO,24,11.2728,TANK6,4/28/26,
A11_1_MONO,24,9.4731,TANK6,4/28/26,
A11_2_MONO,24,9.4134,TANK6,4/28/26,
A11_3_MONO,24,8.0586,TANK6,4/28/26,
A11_4_MONO,24,13.2541,TANK6,4/28/26,
STD,24.1,74.9868,,4/28/26,
A11_5_MONO,24.1,12.8993,TANK6,4/28/26,
A11_6_MONO,24.1,7.5431,TANK6,4/28/26,
A12_1_MONO,24.1,9.4293,TANK6,4/28/26,
A12_2_MONO,24.1,7.1138,TANK6,4/28/26,
A12_3_MONO,24.1,8.5813,TANK6,4/28/26,
A12_4_MONO,24.1,7.9948,TANK6,4/28/26,
A12_5_MONO,24.1,11.3478,TANK6,4/28/26,
A12_6_MONO,24.1,10.4653,TANK6,4/28/26,
STD,24.1,74.9564,,4/28/26,
STD,24,74.9617,,4/28/26,
C14_1_6SP,24,20.4357,,4/28/26,
A10_1_3SP,24,10.076,TANK5,4/28/26,
A11_1_6SP,24,13.6595,TANK24,4/28/26,
A12_1_6SP,24,8.1548,TANK24,4/28/26,
A15_1_FAKE,24,11.1936,TANK4,4/28/26,
A19_1_3SP,23.9,8.8576,TANK19,4/28/26,
STD,23.9,74.9837,,4/28/26,
A24_1_FAKE,23.9,11.9217,TANK22,4/28/26,
B04_1_FAKE,23.9,11.4803,TANK17,4/28/26,
B04_4_MONO,23.9,12.7316,TANK10,4/28/26,
STD,24.1,74.9841,,4/28/26,
B06_1_3SP,24.1,8.6835,TANK23,4/28/26,
STD,24,74.9843,,4/28/26,
A05_1_3SP,24,15.4226,TANK23,4/28/26,
A16_1_FAKE,24,11.7668,TANK4,4/28/26,
A17_1_3SP,24,5.9949,TANK19,4/28/26,
B08_1_MONO,24,17.0515,TANK21,4/28/26,
B10_1_3SP,24,6.0858,TANK5,4/28/26,
B13_1_6SP,24,7.6869,TANK13,4/28/26,
B14_1_MONO,24,10.0076,TANK14,4/28/26,
B14_4_MONO,24,6.6196,TANK14,4/28/26,
B14_1_6SP,24,9.4603,TANK13,4/28/26,
A01_1_FAKE,24,7.4117,TANK12,4/28/26,
B11_1_6SP,23.9,7.958,TANK24,4/28/26,
STD,23.9,74.9826,,4/28/26,
B03_1_3SP,23.9,9.5603,TANK9,4/28/26,
B13_1_FAKE,23.9,10.0602,TANK11,4/28/26,
B12_1_6SP,23.9,8.2234,TANK24,4/28/26,
B13_3_MONO,24.1,6.0327,TANK14,4/28/26,
B10_1_FAKE,24.1,7.9481,TANK15,4/28/26,
A12_1_3SP,24.1,7.6905,TANK5,4/28/26,
STD,24.1,74.9825,,4/28/26,
STD,24,74.9946,,4/28/26,
A06_1_MONO,24,10.173,TANK1,4/28/26,
A16_1_6SP,24,13.6996,TANK13,4/28/26,
A21_1_FAKE,24,18.0219,TANK22,4/28/26,
A10_1_6SP,24,9.4723,TANK24,4/28/26,
B07_1_3SP,24,11.8279,TANK23,4/28/26,
B11_1_FAKE,23.9,8.277,TANK15,4/28/26,Labeled tank 11 in respo?
STD,23.9,74.9921,,4/28/26,
B04_1_MONO,23.9,11.6334,TANK10,4/28/26,
B08_1_3SP,23.9,12.8914,TANK23,4/28/26,
B05_1_MONO,23.9,10.247,TANK21,4/28/26,
STD,24,74.9863,,4/29/26,
A11_1_3SP,24,10.7816,TANK5,4/29/26,
A04_1_MONO,24,10.1585,TANK20,4/29/26,
B20_1_3SP,24,5.9734,TANK19,4/29/26,
B07_1_FAKE,24,7.5457,TANK8,4/29/26,
STD,24.1,74.9812,,4/29/26,
B15_1_FAKE,24.1,9.0749,TANK11,4/29/26,
A23_1_FAKE,24.1,10.4471,TANK22,4/29/26,
B13_1_MONO,24.1,7.6366,TANK14,4/29/26,
B02_1_MONO,24.1,10.5988,TANK10,4/29/26,
B02_1_6SP,24.1,7.3235,TANK2,4/29/26,
B05_1_3SP,24.1,12.1478,TANK23,4/29/26,
STD,24,74.9798,,4/29/26,
A01_1_3SP,24,15.5242,TANK9,4/29/26,
A01_2_3SP,24,8.3556,TANK9,4/29/26,
A02_1_3SP,24,9.0799,TANK9,4/29/26,
A02_2_3SP,24,7.9067,TANK9,4/29/26,
A03_1_3SP,24,8.2003,TANK9,4/29/26,
A03_2_3SP,24,11.0288,TANK9,4/29/26,
A04_1_3SP,24,11.9969,TANK9,4/29/26,
A04_2_3SP,24,9.0746,TANK9,4/29/26,
B01_2_3SP,24,6.4495,TANK9,4/29/26,
B02_2_3SP,24,10.2952,TANK9,4/29/26,
B03_2_3SP,24,6.6712,TANK9,4/29/26,
B04_1_3SP,24,9.0074,TANK9,4/29/26,
B04_2_3SP,24,9.1847,TANK9,4/29/26,
C01_1_3SP,24,17.3188,TANK9,4/29/26,
C01_2_3SP,24,32.7079,TANK9,4/29/26,
C02_1_3SP,24,26.0372,TANK9,4/29/26,
C02_2_3SP,24,26.7006,TANK9,4/29/26,
C03_1_3SP,24,19.3555,TANK9,4/29/26,
C03_2_3SP,24,14.1128,TANK9,4/29/26,
C04_1_3SP,24,10.9494,TANK9,4/29/26,
C04_2_3SP,24,13.9632,TANK9,4/29/26,
STD,23.9,74.9842,,4/29/26,
B01_1_MONO,23.9,7.9985,TANK10,4/29/26,
B01_2_MONO,23.9,10.8348,TANK10,4/29/26,
B01_3_MONO,23.9,9.8248,TANK10,4/29/26,
B01_4_MONO,23.9,8.6007,TANK10,4/29/26,
B01_5_MONO,23.9,5.7709,TANK10,4/29/26,
STD,24,74.9795,,4/29/26,
B01_6_MONO,24,9.1074,TANK10,4/29/26,
B02_2_MONO,24,9.645,TANK10,4/29/26,
B02_3_MONO,24,13.5069,TANK10,4/29/26,
B02_4_MONO,24,9.3131,TANK10,4/29/26,
B02_5_MONO,24,10.4513,TANK10,4/29/26,
B03_1_MONO,24,8.802,TANK10,4/29/26,
B03_2_MONO,24,9.9924,TANK10,4/29/26,
B03_4_MONO,24,7.2567,TANK10,4/29/26,
B03_5_MONO,24,6.7808,TANK10,4/29/26,
B03_6_MONO,24,8.1574,TANK10,4/29/26,
B04_2_MONO,24,11.8635,TANK10,4/29/26,
B04_3_MONO,24,9.5658,TANK10,4/29/26,
B04_5_MONO,24,18.4318,TANK10,4/29/26,
B04_6_MONO,24,10.8496,TANK10,4/29/26,
B12_1_FAKE,24,7.2062,TANK15,4/29/26,
A03_1_FAKE,24,10.3369,TANK12,4/29/26,
A04_1_FAKE,24,11.7192,TANK12,4/29/26,
STD,23.9,74.9856,,4/29/26,
A02_1_MONO,23.9,14.5794,TANK20,4/29/26,
B14_1_FAKE,23.9,7.9523,TANK11,4/29/26,
B01_1_3SP,23.9,15.263,TANK9,4/29/26,
B03_3_MONO,23.9,11.4131,TANK10,4/29/26,
STD,24,74.9799,,4/29/26,
B06_1_FAKE,24,13.5703,TANK8,4/29/26,
A13_1_FAKE,24,9.4438,TANK4,4/29/26,
A09_1_3SP,24,10.5215,TANK5,4/29/26,
A22_1_FAKE,24,11.101,TANK22,4/29/26,
A13_1_6SP,24,9.693,TANK13,4/29/26,
A16_1_MONO,24,6.0261,TANK18,4/29/26,
A14_1_6SP,24,10.498,TANK13,4/29/26,
A15_1_6SP,24,9.9789,TANK13,4/29/26,
B15_1_6SP,24,9.9704,TANK13,4/29/26,
B16_1_6SP,24,7.182,TANK13,4/29/26,
C13_1_6SP,24,21.4357,TANK13,4/29/26,
C15_1_6SP,24,24.3863,TANK13,4/29/26,
C16_1_6SP,24,18.0086,TANK13,4/29/26,
D13_1_6SP,24,21.2755,TANK13,4/29/26,
D14_1_6SP,24,25.0242,TANK13,4/29/26,
D15_1_6SP,24,20.7842,TANK13,4/29/26,
STD,24.1,74.9801,,4/29/26,
D16_1_6SP,24.1,13.4788,TANK13,4/29/26,
E13_1_6SP,24.1,8.2649,TANK13,4/29/26,
E14_1_6SP,24.1,4.7102,TANK13,4/29/26,
E15_1_6SP,24.1,12.2116,TANK13,4/29/26,
E16_1_6SP,24.1,6.7732,TANK13,4/29/26,
F13_1_6SP,24.1,20.4353,TANK13,4/29/26,
F14_1_6SP,24.1,20.8067,TANK13,4/29/26,
F15_1_6SP,24.1,15.5441,TANK13,4/29/26,
F16_1_6SP,24.1,22.4376,TANK13,4/29/26,
STD,24,74.9884,,4/29/26,
B13_2_MONO,24,7.5002,TANK14,4/29/26,
B13_4_MONO,24,6.145,TANK14,4/29/26,
B13_5_MONO,24,5.9164,TANK14,4/29/26,
B13_6_MONO,24,6.3283,TANK14,4/29/26,
B14_2_MONO,24,5.2626,TANK14,4/29/26,
B14_3_MONO,24,9.2093,TANK14,4/29/26,
B14_5_MONO,24,6.3969,TANK14,4/29/26,
B14_6_MONO,24,7.4412,TANK14,4/29/26,
B15_1_MONO,24,10.9317,TANK14,4/29/26,
B15_2_MONO,24,7.4936,TANK14,4/29/26,
B15_3_MONO,24,8.2263,TANK14,4/29/26,
B15_4_MONO,24,9.598,TANK14,4/29/26,
B15_5_MONO,24,15.4183,TANK14,4/29/26,
B15_6_MONO,24,6.6531,TANK14,4/29/26,
STD,24.1,74.9843,,4/29/26,
B16_1_MONO,24.1,17.4068,TANK14,4/29/26,
B16_2_MONO,24.1,13.9675,TANK14,4/29/26,
STD,24,74.9864,,4/29/26,
B16_3_MONO,24,10.6432,TANK14,4/29/26,
B16_4_MONO,24,7.0915,TANK14,4/29/26,
B16_5_MONO,24,9.3945,TANK14,4/29/26,
B16_6_MONO,24,7.7038,TANK14,4/29/26,
STD,24,74.9842,,4/29/26,
STD,23.9,74.9832,,4/29/26,
A06_1_3SP,23.9,10.6105,TANK23,4/29/26,
B09_1_FAKE,23.9,7.7708,TANK15,4/29/26,
B08_1_FAKE,23.9,15.0802,TANK8,4/29/26,
A02_1_FAKE,23.9,8.5644,TANK12,4/29/26,
B02_1_FAKE,23.9,8.5068,TANK17,4/29/26,
A13_1_MONO,23.9,8.5033,TANK18,4/29/26,
B01_1_FAKE,23.9,6.5064,TANK17,4/29/26,
B02_6_MONO,23.9,9.2588,TANK10,4/29/26,
STD,23.9,74.9863,,4/29/26,
A03_1_MONO,23.9,7.6462,TANK20,4/29/26,
A18_1_3SP,23.9,5.4149,TANK19,4/29/26,
B07_1_MONO,23.9,8.5565,TANK21,4/29/26,
B02_1_3SP,23.9,12.9643,TANK9,4/29/26,
B16_1_FAKE,23.9,9.0534,TANK11,4/29/26,
STD,24,74.9695,,4/30/26,
A08_1_3SP,24,10.8816,TANK23,4/30/26,
B18_1_3SP,24,7.4005,TANK19,4/30/26,
A01_1_3SP,24,15.5528,TANK9,4/30/26,
B11_1_MONO,24,6.4765,TANK3,4/30/26,
A11_1_MONO,24,9.5132,TANK6,4/30/26,
A15_1_6SP,24,10.8495,TANK13,4/30/26,
A02_1_6SP,24,14.7701,TANK2,4/30/26,
B01_1_6SP,24,6.2828,TANK2,4/30/26,
BO3_1_FAKE,24,9.1674,TANK17,4/30/26,
B15_3_MONO,24,8.2211,TANK14,4/30/26,
A01_1_6SP,24,8.7798,TANK2,4/30/26,
A10_1_MONO,24,11.313,TANK6,4/30/26,
B09_1_6SP,24,8.7108,TANK24,4/30/26,
B15_1_6SP,24,9.968,TANK13,4/30/26,
A14_1_6SP,24,10.5002,TANK13,4/30/26,
A06_1_FAKE,24,13.2062,TANK7,4/30/26,
B03_1_MONO,24,8.8023,TANK10,4/30/26,
A03_1_6SP,24,13.7283,TANK2,4/30/26,
STD,24.1,74.9712,,4/30/26,
B10_1_MONO,24.1,9.6528,TANK3,4/30/26,
B16_1_MONO,24.1,17.3894,TANK14,4/30/26,
A07_1_3SP,24.1,8.3298,TANK23,4/30/26,
A08_1_FAKE,24.1,6.9975,TANK7,4/30/26,
B12_1_MONO,24.1,9.5188,TANK3,4/30/26,
B16_1_6SP,24.1,7.1665,TANK13,4/30/26,
B01_1_MONO,24.1,7.9968,TANK10,4/30/26,
A02_1_3SP,24.1,9.0953,TANK9,4/30/26,
A01_1_MONO,24.1,11.1143,TANK20,4/30/26,
A20_1_3SP,24.1,8.7126,TANK19,4/30/26,
STD,24,74.9751,,4/30/26,
A13_2_MONO,24,8.3002,TANK18,4/30/26,
A13_3_MONO,24,8.3273,TANK18,4/30/26,
A13_4_MONO,24,7.3902,TANK18,4/30/26,
A13_5_MONO,24,6.6265,TANK18,4/30/26,
A13_6_MONO,24,6.5275,TANK18,4/30/26,
A14_2_MONO,24,12.2986,TANK18,4/30/26,
A14_3_MONO,24,8.3833,TANK18,4/30/26,
A14_4_MONO,24,9.2406,TANK18,4/30/26,
A14_5_MONO,24,8.6616,TANK18,4/30/26,
A14_6_MONO,24,7.0248,TANK18,4/30/26,
A15_1_MONO,24,12.7632,TANK18,4/30/26,
A15_2_MONO,24,9.6689,TANK18,4/30/26,
A15_3_MONO,24,10.2583,TANK18,4/30/26,
STD,24.1,74.981,,4/30/26,
A15_4_MONO,24.1,11.4969,TANK18,4/30/26,
A15_5_MONO,24.1,14.8236,TANK18,4/30/26,
A15_6_MONO,24.1,9.6226,TANK18,4/30/26,
A16_2_MONO,24.1,9.6061,TANK18,4/30/26,
A16_3_MONO,24.1,7.6088,TANK18,4/30/26,
A16_4_MONO,24.1,8.5213,TANK18,4/30/26,
A16_5_MONO,24.1,12.3232,TANK18,4/30/26,
A16_6_MONO,24.1,9.0851,TANK18,4/30/26,
STD,24,74.9785,,4/30/26,
A17_2_3SP,24,7.1298,TANK19,4/30/26,
A18_2_3SP,24,7.5658,TANK19,4/30/26,
A19_2_3SP,24,7.4588,TANK19,4/30/26,
A20_2_3SP,24,9.7063,TANK19,4/30/26,
B17_2_3SP,24,7.6193,TANK19,4/30/26,
B18_2_3SP,24,10.2285,TANK19,4/30/26,
B19_2_3SP,24,7.3275,TANK19,4/30/26,
B20_2_3SP,24,6.5528,TANK19,4/30/26,
C17_1_3SP,24,11.9315,TANK19,4/30/26,
C17_2_3SP,24,9.8856,TANK19,4/30/26,
C18_1_3SP,24,13.9135,TANK19,4/30/26,
C18_2_3SP,24,14.0023,TANK19,4/30/26,
C19_1_3SP,24,15.5466,TANK19,4/30/26,
C19_2_3SP,24,17.8312,TANK19,4/30/26,
C20_1_3SP,24,12.0879,TANK19,4/30/26,
C20_2_3SP,24,13.0858,TANK19,4/30/26,
STD,24.1,74.9841,,4/30/26,
A01_2_MONO,24.1,9.5966,TANK20,4/30/26,
A01_3_MONO,24.1,10.3012,TANK20,4/30/26,
A01_4_MONO,24.1,8.004,TANK20,4/30/26,
A01_5_MONO,24.1,8.1832,TANK20,4/30/26,
A01_6_MONO,24.1,10.6686,TANK20,4/30/26,
A02_2_MONO,24.1,14.1078,TANK20,4/30/26,
A02_3_MONO,24.1,10.5185,TANK20,4/30/26,
A02_4_MONO,24.1,10.8586,TANK20,4/30/26,
A02_5_MONO,24.1,14.9568,TANK20,4/30/26,
A02_6_MONO,24.1,9.5946,TANK20,4/30/26,
A03_2_MONO,24.1,8.977,TANK20,4/30/26,
A03_3_MONO,24.1,10.0056,TANK20,4/30/26,
A03_4_MONO,24.1,8.3166,TANK20,4/30/26,
A03_5_MONO,24.1,11.9942,TANK20,4/30/26,
A03_6_MONO,24.1,9.9472,TANK20,4/30/26,
A04_2_MONO,24.1,14.9264,TANK20,4/30/26,
A04_3_MONO,24.1,11.1496,TANK20,4/30/26,
A04_4_MONO,24.1,10.2471,TANK20,4/30/26,
A04_5_MONO,24.1,9.7607,TANK20,4/30/26,
A04_6_MONO,24.1,8.1028,TANK20,4/30/26,
STD,24,74.9796,,4/30/26,
B05_2_MONO,24,9.7983,TANK21,4/30/26,
B05_3_MONO,24,11.2654,TANK21,4/30/26,
B05_4_MONO,24,11.8248,TANK21,4/30/26,
B05_5_MONO,24,16.7726,TANK21,4/30/26,
B05_6_MONO,24,13.5745,TANK21,4/30/26,
B06_2_MONO,24,6.795,TANK21,4/30/26,
B06_3_MONO,24,12.4428,TANK21,4/30/26,
B06_4_MONO,24,10.7331,TANK21,4/30/26,
B06_5_MONO,24,7.1548,TANK21,4/30/26,
B06_6_MONO,24,9.8833,TANK21,4/30/26,
B07_2_MONO,24,6.0873,TANK21,4/30/26,
B07_3_MONO,24,7.9526,TANK21,4/30/26,
B07_4_MONO,24,6.8874,TANK21,4/30/26,
B07_5_MONO,24,6.2614,TANK21,4/30/26,
B07_6_MONO,24,10.1924,TANK21,4/30/26,
STD,23.9,74.9794,,4/30/26,
B08_2_MONO,23.9,14.2123,TANK21,4/30/26,
B08_3_MONO,23.9,11.0696,TANK21,4/30/26,
B08_4_MONO,23.9,15.6939,TANK21,4/30/26,
B08_5_MONO,23.9,13.1015,TANK21,4/30/26,
B08_6_MONO,23.9,10.4202,TANK21,4/30/26,
STD,24.1,74.9826,,4/30/26,
A05_2_3SP,24.1,14.6243,TANK23,4/30/26,
A06_2_3SP,24.1,12.7998,TANK23,4/30/26,
A07_2_3SP,24.1,7.8246,TANK23,4/30/26,
A08_2_3SP,24.1,9.4977,TANK23,4/30/26,
B05_2_3SP,24.1,11.4069,TANK23,4/30/26,
B06_2_3SP,24.1,8.0205,TANK23,4/30/26,
B07_2_3SP,24.1,9.3268,TANK23,4/30/26,
B08_2_3SP,24.1,10.9388,TANK23,4/30/26,
C05_1_3SP,24.1,17.0566,TANK23,4/30/26,
C05_2_3SP,24.1,26.8656,TANK23,4/30/26,
C06_1_3SP,24.1,14.2305,TANK23,4/30/26,
C06_2_3SP,24.1,16.6366,TANK23,4/30/26,
STD,24,74.9821,,4/30/26,
C07_1_3SP,24,24.0553,TANK23,4/30/26,
C07_2_3SP,24,17.6263,TANK23,4/30/26,
C08_1_3SP,24,20.7872,TANK23,4/30/26,
C08_2_3SP,24,19.9688,TANK23,4/30/26,
STD,24.1,74.9875,,,
C09_1_6SP,24.1,18.6957,TANK24,4/30/26,
C10_1_6SP,24.1,22.9028,TANK24,4/30/26,
C11_1_6SP,24.1,17.9059,TANK24,4/30/26,
C12_1_6SP,24.1,11.9432,TANK24,4/30/26,
D09_1_6SP,24.1,10.2094,TANK24,4/30/26,
D10_1_6SP,24.1,11.9026,TANK24,4/30/26,
D11_1_6SP,24.1,14.0018,TANK24,4/30/26,
D12_1_6SP,24.1,11.6618,TANK24,4/30/26,
E09_1_6SP,24.1,5.9918,TANK24,4/30/26,
E10_1_6SP,24.1,9.2558,TANK24,4/30/26,
E11_1_6SP,24.1,8.5204,TANK24,4/30/26,
E12_1_6SP,24.1,5.9092,TANK24,4/30/26,
F09_1_6SP,24.1,38.4851,TANK24,4/30/26,
F10_1_6SP,24.1,14.9488,TANK24,4/30/26,
F11_1_6SP,24.1,19.0668,TANK24,4/30/26,
F12_1_6SP,24.1,15.2318,TANK24,4/30/26,
A05_1_FAKE,24.1,13.0019,TANK7,4/30/26,
B04_1_3SP,24.1,9.0157,TANK9,4/30/26,
A03_1_FAKE,24.1,10.3744,TANK12,4/30/26,
B10_1_6SP,24.1,7.9225,TANK24,4/30/26,
B16_3_MONO,24.1,10.6488,TANK14,4/30/26,
B15_1_MONO,24.1,10.9215,TANK14,4/30/26,
B12_1_FAKE,24.1,7.2158,TANK15,4/30/26,
B17_1_3SP,24.1,7.1244,TANK19,4/30/26,
A14_1_MONO,24.1,9.4964,TANK18,4/30/26,
B01_4_MONO,24.1,8.6285,TANK10,4/30/26,
STD,24.1,74.9856,,4/30/26,
